,Proposal,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
28,SIA/OR/MIN/263308/2022,263308/742-MINB2/06-2022,BALARANGA STONE QUARRY  B,Orissa,Sambalpur,Sadar,Date of Submission for EC: 26 May 2022 ,Date of Ec Granted : 29 Jul 2022,Non-Coal Mining,PANKAJ AGRAWALLA,EC Granted
29,SIA/OR/MIN/59349/2020,59349/180-MINB1/01-2022,"Raichanda Sand Bed mine on river Brahmani over an area of 8.093 Ha or 20.00 Acre in village Raichanda, under Dharmasala Tahasil of Jajpur District, Odisha",Orissa,Jajpur,Dharmasala,Date of Submission for EC: 08 Jan 2022 ,Date of Ec Granted : 26 May 2022,Non-Coal Mining,SRI SRIBASH JENA,EC Granted
30,SIA/OR/MIN/246398/2021,246398/151-MINB2/12-2021,"Kotilingi Stone Quarry over an area of 2.036 acres or 0.823 Ha having Khata No. 1515, Plot No. 5125 in the village Kotilingi, Tahasil Chikiti in district Ganjam, State Odisha.",Orissa,Ganjam,Digapahandi,Date of Submission for EC: 21 Dec 2021 ,Date of Ec Granted : 11 Mar 2022,Non-Coal Mining,TEHSILDAR CHIKITI,EC Granted
31,SIA/OR/MIN/246380/2021,,"Proposal for grant of Environmental Clearance of TAHASILDAR KOMNA over an area 5.00 Acre or 2.023Hectare in village of Lakhna under Komna Tahasil in Nuapada district, Odisha",Orissa,Nuapada,Komana,Date of Submission for TOR: ,Date of Submission for EC: 21 Dec 2021 ,Non-Coal Mining,TAHASILDAR KOMNA,Delisted
32,SIA/OR/MIN/249414/2022,249414/171-MINB2/01-2022,Babalpur Brick Earth Quarry Over an area of 4.59 Acres or 1.857 hectares in village Babalpur under Bhandaripokhari Tahasil of Bhadrak District of Odisha.,Orissa,Bhadrak,Bhandari Pokhari,Date of Submission for EC: 01 Jan 2022 ,Date of Ec Granted : 30 Mar 2022,Non-Coal Mining,M/S LAXMI NARAYAN BRICKS,EC Granted
33,SIA/OR/MIN/268135/2022,268135/262-MINB2/04-2022,Mahisapat Matialghat Sand Quarry over an area of 5.58 acres or 2.367 hectares in village Kalikaprasad under Champua Tahasil in Keonjhar District  Odisha.,Orissa,Kendujhar,Champua,Date of Submission for EC: 16 Apr 2022 ,Date of Ec Granted : 30 Jun 2022,Non-Coal Mining,JAGADISH BADAPANDA,EC Granted
34,SIA/OR/MIN/269055/2022,,MANTRAJHOLLA III STONE QUARRY,Orissa,Rayagada,Rayagada,Date of Submission for TOR: ,Date of Submission for EC: 22 Apr 2022 ,Non-Coal Mining,RAMANI PATI,Delisted
35,SIA/OR/MIN/269122/2022,269122/268-MINB2/04-2022,Proposal for EC of BILEIGARH SAND BED over an area 12.00 acres or 4.856 hectares in Bileigarh village under Tangarpali tahasil in Sundargarh district  Odisha.,Orissa,Sundargarh,Tangarapali,Date of Submission for EC: 22 Apr 2022 ,Date of Ec Granted : 22 Sep 2022,Non-Coal Mining,TAHASILDAR TANGARPALI,EC Granted
36,SIA/OR/MIS/263754/2022,263754/79-MIS/03-2022,Residential Project,Orissa,Khordha,Bhubaneswar,Date of Submission for TOR: ,Date of Submission for EC: 25 Mar 2022 ,INFRA-2, HARSHPRIYA NEELACHALA,WithdrawEC
37,SIA/OR/MIN/276633/2022,276633/775-MINB2/06-2022,"PROPOSAL FOR FRESH EC OF BALANGIR  SAND QUARRY OVER AN AREA OF 12.30 ACRES OR 4.977 HECTARES, AT VILLAGE-BALANGIR, UNDER JHARBANDH TAHASIL OF BARGARH DISTRICT, ODISHA",Orissa,Bargarh,Jharabandha,Date of Submission for EC: 05 Jun 2022 ,Date of Ec Granted : 17 Aug 2022,Non-Coal Mining,"TAHASILDAR, JHARBANDH",EC Granted
38,SIA/OR/MIN/64155/2021,64155/273-MINB1/07-2022,"New proposed project of Basupali Stone Quarry -5 with proposed excavation of 4348.8 CUM/year of stone of Tahasildar Balangir having an area of 1.82 Ha. Located at Khata No. 14 Plot No.79 & 101, Village Basupali under Balangir Tahasil of Balangir District, Odisha (Under Cluster approach for Basupali Cluster Stone Quarry over an area of 9.67 Ha with 5 individual mines)",Orissa,Balangir,Balangir,Date of Submission for TOR: ,Date of Submission for EC: 19 Jul 2022 ,Non-Coal Mining,TAHASILDAR BALANGIR,WithdrawEC
39,SIA/OR/MIN/276784/2022,276784/383-MINB2/07-2022,Bhanjakia Murrum Quarry Over an area of 1.42 Acre or 0.574 Hectares in village Bhanjakia under Raruan Tahasil of Mayurbhanj District of Odisha.,Orissa,Mayurbhanj,Raruan,Date of Submission for EC: 25 Jul 2022 ,Date of Ec Granted : 22 Sep 2022,Non-Coal Mining,SATYA ROUT,EC Granted
40,SIA/OR/MIN/60333/2021,60333/264-MINB1/07-2022,Hazaridanga Stone Quarry V,Orissa,Rayagada,Rayagada,Date of Submission for TOR: ,Date of Submission for EC: 20 Jul 2022 ,Non-Coal Mining,TAHSILDAR KOLNARA,Accepted By SEAC
41,SIA/OR/MIN/54874/2020,54874/195-MINB1/02-2022,"Pratapnagari Sand Bed mines on river Kuakhai over an area of 5.26 Ha/ 13 Acre in village Pratapnagari, under Cuttack Sadar Tahasil of Cuttack district of Tahasildar, Sadar Cuttack",Orissa,Cuttack,Cuttack Sadar,Date of Submission for EC: 05 Feb 2022 ,Date of Ec Granted : 03 Jun 2022,Non-Coal Mining,PRAKASH RAUTARAY,EC Granted
42,SIA/OR/MIN/237808/2021,237808/65-MINB2/11-2021,KUSMEL SAND QUARRY OF SATYAKAM SINGH,Orissa,Balangir,Loisinga,Date of Submission for EC: 09 Nov 2021 ,Date of Ec Granted : 19 Apr 2022,Non-Coal Mining,SRI SATYAKAM SINGH,EC Granted
43,SIA/OR/MIN/236890/2021,,Fasad Sand Quarry,Orissa,Balangir,Loisinga,Date of Submission for TOR: ,Date of Submission for EC: 12 Nov 2021 ,Non-Coal Mining,GANGA SANKAR SAHU,WithdrawEC
44,SIA/OR/MIN/257216/2022,257216/577-MINB2/02-2022,MAHADA SAND BED OVER AN AREA OF 10.00 ACRES OR 4.048 HECTARES IN VILLAGE MAHADA UNDER TITILAGARH TAHASIL IN BALANGIR DISTRICT ODISHA,Orissa,Balangir,Titlagarh,Date of Submission for EC: 21 Feb 2022 ,Date of Ec Granted : 22 Jul 2022,Non-Coal Mining,RAJAT PATRA,EC Granted
45,SIA/OR/MIS/255498/2022,255498/78-MIS/03-2022,"Environment Clearance for Construction of Multilevel Car Parking project [LGF+UGF+1F+2F ] over Plot bearing Khata no. No. 252 at Mouza Puri Town Unit no.-21, Balagandi, Near Jail Road, Tahasil-Puri,Dist :Puri,Odisha of Odisha Bridge & Construction Co",Orissa,Puri,Sadar,Date of Submission for EC: 29 Mar 2022 ,Date of Ec Granted : 03 Dec 2022,INFRA-2, ORISSA BRIDGE AND CONSTRUCTION CORPORATION LIMITED,EC Granted
46,SIA/OR/MIN/257003/2022,257003/621-MINB2/04-2022,Beheraguda Sand Bed,Orissa,Rayagada,Rayagada,Date of Submission for EC: 15 Apr 2022 ,Date of Ec Granted : 30 Jun 2022,Non-Coal Mining,TAHASILDAR RAYAGADA,EC Granted
47,SIA/OR/MIN/272186/2022,272186/738-MINB2/05-2022,"Banamaliguda Sand Bed over an area of 1.00 Acers or 0.404 Hectares having Khata No. 209 & 272, Plot No. 1154 & 562/998 in the village Banamaliguda, Tahasil Kodinga in District Nabarangpur, State Odisha.",Orissa,Nabarangpur,Kodinga,Date of Submission for EC: 10 May 2022 ,Date of Ec Granted : 29 Jul 2022,Non-Coal Mining,TAHASILDAR KODINGA,EC Granted
48,SIA/OR/MIN/227779/2021,227779/34-MINB2/09-2021,"Dangarapara decorative stone mines over an area of 4.047 Ha in Village Dangarapara No. 97 under Titilagarh Tahasil of Balangir District, Odisha",Orissa,Balangir,Titlagarh,Date of Submission for EC: 25 Sep 2021 ,Date of Ec Granted : 07 Apr 2022,Non-Coal Mining,RISHABH MINING PVT. LTD.,EC Granted
49,SIA/OR/MIN/226153/2021,226153/87-MINB2/11-2021,GUNDURI STONE QUARRY,Orissa,Angul,Athmallik,Date of Submission for EC: 29 Nov 2021 ,Date of Ec Granted : 08 Mar 2022,Non-Coal Mining,APOLLO KUMAR GARNAYAK,EC Granted
50,SIA/OR/MIN/48909/2018,48909/15-MINB1/12-2019,Capacity enhancement of Mahaparbat (Unchabali) Iron Ore Mine,Orissa,Kendujhar,Joda,Date of Submission for EC: 31 Dec 2019 ,Date of Ec Granted : ,Non-Coal Mining,ODISHA MINING CORPORATION LIMITED,EC Granted
51,SIA/OR/MIN/247568/2021,247568/544-MINB2/02-2022,MARADA STONE QUARRY OVER AN AREA OF 4.957 HA UNDER BHAPUR TAHASIL OF NAYAGARH DISTRICT ODISHA,Orissa,Nayagarh,Fategarh,Date of Submission for EC: 08 Feb 2022 ,Date of Ec Granted : 13 Apr 2022,Non-Coal Mining,BENUDHAR  PRADHAN,EC Granted
52,SIA/OR/MIN/239541/2021,239541/96-MINB2/12-2021,Proposal for Grant of EC of Mahakhand Stone Quarry-I over an area of 4.84 Acres or 1.958 Ha.in Village Mahakhand under Kantabanji Tahasil of Balangir District.,Orissa,Balangir,Kantabanji,Date of Submission for EC: 04 Dec 2021 ,Date of Ec Granted : 01 Feb 2022,Non-Coal Mining,SAROJ KUMAR MEHER,EC Granted
53,SIA/OR/MIN/250588/2022,,"Proposal for Fresh EC for Nilathar Sand Quarry  over an area of 12.30 Acres or 4.977 Hectares having Khata No. 80, Plot No. 423 & 423/968 at village Nilathar under Paikmal Tahasil, Dstrict-Bargarh, Odihsha of Sri Nrupati Padhan",,,,Date of Submission for TOR: ,Date of Submission for EC: 28 Jan 2022 ,Non-Coal Mining,NRUPATI PADHAN,Delisted
54,SIA/OR/MIN/250434/2022,250434/716-MINB2/04-2022,"Limika  Stone Quarry over an area of 4.00 acres or 1.619 hectares bearing Khata no. 02, Plot no. 374/1 in Limika village of Koraput Tahasil, District-Koraput State Odisha",Orissa,Koraput,Koraput,Date of Submission for EC: 29 Apr 2022 ,Date of Ec Granted : 18 Jul 2022,Non-Coal Mining,TAHASILDAR KORAPUT,EC Granted
55,SIA/OR/MIN/55807/2020,55807/89-MINB1/06-2022,Kalamang West (Northern Part) Block Iron Ore Mines of Tata Steel BSL Limited.,Orissa,Kendujhar,Barbil,Date of Submission for EC: 08 Jun 2022 ,Date of Ec Granted : 18 Oct 2022,Non-Coal Mining,"Tata Steel Limited, Meramandali",EC Granted
56,SIA/OR/MIS/273838/2022,,M/s Harshpriya Constructions Pvt. Ltd.,Orissa,Khordha,Bhubaneswar,Date of Submission for TOR: ,Date of Submission for EC: 19 May 2022 ,INFRA-2,HARSHPRIYA CONSTRUCTIONS PVT LTD,Delisted
57,SIA/OR/MIN/253896/2022,253896/214-MINB2/01-2022,"Sasanga Sand Quarry 2, Sasanga over an area of 12.00 ac or 4.856 ha in village Sasanga of Champua Tahasil of Keonjhar district, Odisha.",Orissa,Kendujhar,Champua,Date of Submission for EC: 29 Jan 2022 ,Date of Ec Granted : 04 Apr 2022,Non-Coal Mining,TAHASILDAR CHAMPUA KEONJHAR,EC Granted
58,SIA/OR/MIN/238325/2021,,BHANDARIMAL STONE QUARRY,Orissa,Sambalpur,Jujomura,Date of Submission for TOR: ,Date of Submission for EC: 12 Nov 2021 ,Non-Coal Mining,BHANDARIMAL STONE QUARRY,Delisted
59,SIA/OR/MIN/253107/2022,25310/586-MINB2/02-2022,"Proposal for Fresh EC of Podapodar Decorative Stone Mines over an area of 10.20 Acres or 4.128 Hectares at village Poadapodar under Borigumma Tahasil,District-Koraput, Odisha of Sri Pramod Kumar Panda",Orissa,Koraput,Boriguma,Date of Submission for EC: 24 Feb 2022 ,Date of Ec Granted : 18 Oct 2022,Non-Coal Mining,PRAMOD PANDA,EC Granted
60,SIA/OR/MIS/108769/2019,108769/01-MIS/06-2019,"Amendment of Environment Clearance from Multi Storied Commercial IT/ITES Building to Institutional Building “Tower 2010” at Mancheswar Industrial Estate, Bhubaneswar, Dist- Khurda, Odisha",Orissa,Khordha,Khordha,Date of Submission for TOR: ,Date of Submission for EC: 25 Jun 2019 ,INFRA-2,IDCO,Rejection Letter Granted
61,SIA/OR/MIN/252166/2022,252166/221-MINB2/02-2022,Proposal for grant of Environmental Clearance of Baijalpur Stone Quarry-II over an area of 4.00 Acres or 1.618 Hectares in village Baijalpur under Golamunda Tahasil of Kalahandi District.,Orissa,Kalahandi,Dharamgarh,Date of Submission for EC: 01 Feb 2022 ,Date of Ec Granted : 17 Mar 2022,Non-Coal Mining,TAHASILDAR GOLAMUNDA,EC Granted
62,SIA/OR/MIN/59702/2021,59702/190-MINB1/01-2022,"Krushnachandrapur stone quarry No. 7 over 8.85 Ac. or 3.581 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)",Orissa,Anugul,Banarpal,Date of Submission for EC: 22 Jan 2022 ,Date of Ec Granted : 02 Jun 2022,Non-Coal Mining, JAGANNATH CORPORATION PROJECTS PRIVATE LIMITED,EC Granted
63,SIA/OR/MIN/281241/2022,281241/321-MINB2/07-2022,"PROPOSAL FOR FRESH EC OF JANIBILLI STONE QUARRY OVER AN AREA OF 2.780 ACRES OR 1.125 HECTARES AT VILLAGE JANIBILLI UNDER DHARAKOTE TAHASIL OF GANJAM DISTRICT, ODISHA",Orissa,Ganjam,Asika,Date of Submission for EC: 02 Jul 2022 ,Date of Ec Granted : 17 Aug 2022,Non-Coal Mining,"TAHASILDAR, DHARAKOTE",EC Granted
64,SIA/OR/MIN/229965/2021,,Dakadhola Sand Quarry,,,,Date of Submission for TOR: ,Date of Submission for EC: 21 Jan 2022 ,Non-Coal Mining,BENUDHAR  PRADHAN,WithdrawEC
65,SIA/OR/MIN/238244/2021,238244/69-MINB2/11-2021,Tangisahi Nuagaon Stone Quarry over an area of 3.77 Acres or 1.526 Hectares in Village- Tangisahi Nuagaon under Khandapada Tahasil of Nayagarh District of Odisha,Orissa,Nayagarh,Khandapada,Date of Submission for EC: 12 Nov 2021 ,Date of Ec Granted : 25 Jan 2022,Non-Coal Mining,DILLIP KUMAR JUJHARSINGH,EC Granted
66,SIA/OR/MIS/230203/2021,,"Residential Colony Project at Mouza-Chandrasekharpur, Khurda, Bhubaneswar, Odisha",Orissa,Khordha,Khordha,Date of Submission for TOR: ,Date of Submission for EC: 29 Sep 2021 ,INFRA-2,M/S ZJSH SPV  PVT. LTD.,WithdrawEC
67,SIA/OR/MIN/250774/2022,250774/765-MINB2/05-2022,"Proposal for EC Kutrichapar Stone Quarry over an area 1.61Acre or 0.651Hectare in Kutrichapar village of Jharigam Tahasil in Nabarangpur district, Odisha",Orissa,Nabarangpur,Jharigan,Date of Submission for TOR: ,Date of Submission for EC: 25 May 2022 ,Non-Coal Mining,JHARIGAM TAHASIL,Rejection Letter Granted
68,SIA/OR/MIN/250500/2022,,"Sapsil  Stone Quarry over an area of 4.00 acres or 1.619 hectares bearing Khata no. 76, Plot no. 304 in Sapsil village of Koraput Tahasil,District-Koraput,State Odisha",Orissa,Koraput,Koraput,Date of Submission for TOR: ,Date of Submission for EC: 25 May 2022 ,Non-Coal Mining,TAHASILDAR KORAPUT,Query raised by SEIAA and pending at PP
69,SIA/OR/IND/73998/2010,73998/28-IND/04-2022,"Proposed Expansion of Existing FRP plant from 1.35 Lac TPA [Hot Rolled Coil (HRC) & Cold Rolled Coil (CRC)] to 5.85 Lac TPA Hot Rolled Coil (HRC) including existing 1.35 Lac TPA Cold Rolled Coil (CRC) at Villages Jamda and Jamda (Nimpali), Tehsil Hirakud, District Sambalpur (Odisha)",Orissa,Sambalpur,Hirakud,Date of Submission for EC: 04 Apr 2022 ,Date of Ec Granted : 04 Jul 2022,Industrial Projects - 1,M/S. HINDALCO INDUSTRIES LIMITED,EC Granted
70,SIA/OR/MIN/272004/2022,272004/335-MINB2/07-2022,PROPOSAL FOR FRESH EC OF GHODADIAN ROAD METAL QUARRY OVER AN AREA OF 5.62 ACRES OR 2.274 HECTARES AT VILLAGE GHODADIAN UNDER ODAPADA TAHASIL OF DHENKANAL DISTRICT ODISHA,Orissa,Dhenkanal,Odapada,Date of Submission for EC: 09 Jul 2022 ,Date of Ec Granted : 22 Aug 2022,Non-Coal Mining,PRAMODA PARIDA,EC Granted
71,SIA/OR/MIN/255270/2022,255270/552-MINB2/02-2022,"For the grant of EC of Parjang Stone Quarry over an area of 2.436 acres/ 0.986 hacters in village Parjang under Parjang Tahasil of Dhenkanal District, Odisha.",Orissa,Dhenkanal,Parajang,Date of Submission for EC: 08 Feb 2022 ,Date of Ec Granted : 06 May 2022,Non-Coal Mining,TAHASILDAR PARJANG,EC Granted
72,SIA/OR/MIN/273575/2022,273575/275-MINB2/05-2022,Baradiha Murrum Quarry Over an area of 2.47 Acre or 0.999 Hectares in village Baradiha under Jaleswar Tahasil of Balasore District of Odisha.,Orissa,Balasore,Jaleswar,Date of Submission for EC: 18 May 2022 ,Date of Ec Granted : 01 Jun 2022,Non-Coal Mining,MANOJ BALABANTARAY,EC Granted
73,SIA/OR/MIN/273852/2022,273852/280-MINB2/05-2022,Bigapadar Sand Source over an area of 9.489 acre or 3.840 hectare in village Bigapadar under Khondamals Tahasil of Kandhamal District of Odisha.,Orissa,Kandhamal,Tikabali,Date of Submission for EC: 19 May 2022 ,Date of Ec Granted : 30 Jul 2022,Non-Coal Mining,DINAMANI NAIK,EC Granted
74,SIA/OR/MIN/226919/2021,226919/27-MINB2/08-2021,DHANIA NEW STONE QUARRY NORTH SIDE TA,Orissa,Khordha,Khordha,Date of Submission for EC: 09 Sep 2021 ,Date of Ec Granted : 19 Nov 2021,Non-Coal Mining,SHRI SOUBHAGYA CHANDRA DAS,EC Granted
75,SIA/OR/MIN/227065/2021,227065/12-MINB2/08-2021,DHANIA NEW BUILDING STONE QUARRY(F),Orissa,Khordha,Khordha,Date of Submission for EC: 07 Sep 2021 ,Date of Ec Granted : 19 Nov 2021,Non-Coal Mining,SHRI JAGADISH BARAL,EC Granted
76,SIA/OR/MIN/225487/2021,225487/36-MINB2/08-2021,BABEGHATI-I STONE QUARRY,Orissa,Nuapada,Komana,Date of Submission for EC: 08 Sep 2021 ,Date of Ec Granted : 30 Dec 2021,Non-Coal Mining,TAHASILDAR KOMNA,EC Granted
77,SIA/OR/MIN/249676/2022,249676/333-MINB2/07-2022,"Uanla Sand Quarry over an area of 12.355 acres or 5.00 Ha bearing khata No. 81, Plot No. 221/A, 224/A in the village Uanla,Tahasil Harabhanga, District Boudh, State Odisha",Orissa,Boudh,Harbhanga,Date of Submission for EC: 07 Jul 2022 ,Date of Ec Granted : 22 Aug 2022,Non-Coal Mining,TAHASILDAR HARABHANGA,EC Granted
78,SIA/OR/MIN/258199/2022,258199/592-MINB1/03-2022,DANKARI BLACK STONE QUARRY NO 712 OVER 12.50 ACRES OR 5.058 HECT IN VILLAGE DANKARI UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT ODISHA.,Orissa,Jajpur,Dharmasala,Date of Submission for EC: 05 Mar 2022 ,Date of Ec Granted : 06 May 2022,Non-Coal Mining,NARAYAN ROUT,EC Granted
79,SIA/OR/MIN/257165/2022,257165/604-MINB2/02-2022,SARGUNAMUNDA SAND BED-A OVER AN AREA OF 10.00 ACRES OR 4.048  HECTARES IN VILLAGE SARGUNAMUNDA UNDER TITTLAGARH TAHASIL IN BOLANGIR DISTRICT ODISHA,Orissa,Balangir,Titlagarh,Date of Submission for EC: 21 Mar 2022 ,Date of Ec Granted : 03 Jun 2022,Non-Coal Mining,RAJAT PATRA,EC Granted
80,SIA/OR/MIN/279356/2022,,NEW PROPOSAL FOR ENVIRONMENT CLEARANCE FOR KANAKTORA SAND BED KELO RIVER OVER AN AREA OF 4.86 HECTARE OR 12.00 ACRES IN VILLAGE KANAKTORA UNDER LAKHANPUR TAHASIL AND DISTRICT OF JHARSUGUDA  ODISHA,Orissa,Jharsuguda,Lakhanpur,Date of Submission for TOR: ,Date of Submission for EC: 23 Jun 2022 ,Non-Coal Mining,SUNIL PRADHAN,Delisted
81,SIA/OR/MIN/277416/2022,277416/739-MINB2/06-2022,"Kokariguda Stone Quarry over an area of 10.00 Acers or 4.046 Ha having Khata no. 109, Plot No. 543 in the village Kokariguda, Tahasil- Semiliguda, District- Koraput, State Odisha.",Orissa,Koraput,Similiguda,Date of Submission for EC: 09 Jun 2022 ,Date of Ec Granted : 19 Jul 2022,Non-Coal Mining,TAHASILDAR SEMILIGUDA,EC Granted
