,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted
223,SIA/WB/MIN/166284/2020,Bhattagram Sand Mine (Area- 0.80 Hectares) on Silabati River on Plot No. 680(P),Non-Coal Mining,12 Oct 2020,03/08/2020,31/08/2020,12/10/2020,24/11/2020,,,21/12/2020,,
224,SIA/WB/MIN/175223/2020,"Subarnarekha river bed sand mining possesses by Srikanta Mondal over an area  4.99 hectare/ 5.00 Hectare at mouza - Dangariai, Dist - Jhargram for ordinary sand mining",Non-Coal Mining,19 Jan 2021,28/10/2020,10/01/2021,19/01/2021,22/01/2021,,,12/05/2021,,
225,SIA/WB/MIN/230461/2021,"Gahulapara Brick Earth Mine For M/s K.M.B. Brick Field, Area 3.37 Acres",Non-Coal Mining,21 Sep 2021,21/09/2021,19/11/2021,,,,,,,
226,SIA/WB/MIN/259771/2022,Manidaha [Plot No. 817(P) & 1289(P); J.L. No.- 110] sand deposit on Kangshabati River,Non-Coal Mining,04 Mar 2022,04/03/2022,,,,,,,,
227,SIA/WB/MIN/259487/2022,Bishwanathpur-Patna sand mine on Kangshabati river,Non-Coal Mining,15 Mar 2023,12/03/2022,08/12/2022,15/03/2023,17/03/2023,,,21/03/2023,,
228,SIA/WB/MIN/262252/2022,Bhogramguri sand mine,Non-Coal Mining,31 Mar 2022,31/03/2022,,,,,,,,
229,SIA/WB/MIN/186932/2020,Meghdumra Brick Earth Mine,Non-Coal Mining,07 Dec 2020,07/12/2020,03/01/2021,,,,,,,
230,SIA/WB/IND2/44360/2016,"Proposed 200 KLPD Grain Based Distillery along with 5.0 MW Co-Generation Power Plant at Village Jorsha & Teghoria, Tehsil Mejhia, District Bankura (West Bengal) by Ankoor Distilleries Private Limited",Industrial Projects - 2,12 Mar 2020,12/03/2020,10/12/2019,12/03/2020,17/06/2020,,,22/07/2020,30/12/2020,
231,SIA/WB/MIS/256086/2022,Residential Complex,INFRA-2,17 Aug 2022,11/02/2022,15/02/2022,,,,,,,
232,SIA/WB/MIN/189940/2020,M/s Baby Brick Field,Non-Coal Mining,06 Jan 2021,06/01/2021,06/12/2021,,,,,,,
233,SIA/WB/MIN/265310/2022,Bataliguri Sand Mine,Non-Coal Mining,31 Mar 2022,31/03/2022,,,,,,,,
234,SIA/WB/MIN/265318/2022,Gopiballavpur - II Sand Block MGB - 34 of Animesh Senapati.,Non-Coal Mining,31 Mar 2022,31/03/2022,,,,,,,,
235,SIA/WB/IND3/69003/2021,"Expansion of Polymer Grade Product by M/s. Sika India Pvt. Limited at Plot No. F2/1, Vidyasagar Industrial Park, Kharagpur, West Medinipur, West Bengal",Industrial Projects - 3,23 Jul 2022,08/04/2022,18/07/2022,23/07/2022,08/08/2022,,,18/08/2022,,
236,SIA/WB/MIN/264975/2022,Tashuli Sand Mine,Non-Coal Mining,30 Mar 2022,30/03/2022,,,22/02/2023,,,27/02/2023,,
237,SIA/WB/MIN/195678/2021,"River Bed Sand from the ""Kumari River""",Non-Coal Mining,30 Jan 2021,30/01/2021,,,25/02/2021,,,12/05/2021,,
238,SIA/WB/MIN/194007/2021,DHANTALI SAND MINE,Non-Coal Mining,30 Jul 2021,20/01/2021,29/07/2021,30/07/2021,17/08/2021,,,,,
239,SIA/WB/MIN/415690/2023,Indas Sand MIne (MIN_BNK_51),Non-Coal Mining,30 Jan 2023,30/01/2023,,,30/01/2023,,,03/02/2023,,10/03/2023
240,SIA/WB/MIN/411077/2022,Becharhat Sand Mine on river Damoder,Non-Coal Mining,18 Dec 2022,18/12/2022,,,02/01/2023,,,16/01/2023,,
241,SIA/WB/INFRA2/449177/2023,Proposed Mixed Use Project “Vertical City” by M/s West Bengal Housing Infrastructure Development Corporation Ltd. (WBHIDCO),INFRA-2,17 Oct 2023,17/10/2023,21/11/2023,,,,,,,
242,SIA/WB/MIN/423220/2023,MIN_DJ_2 Sand Mine,Non-Coal Mining,25 Mar 2023,25/03/2023,,,27/03/2023,,,27/03/2023,,28/04/2023
243,SIA/WB/MIN/264720/2022,PAIKPARI SAND MINE,Non-Coal Mining,30 Mar 2022,30/03/2022,,,24/02/2023,,,04/03/2023,,
244,SIA/WB/MIN/265509/2022,BOGDUAR SAND MINE,Non-Coal Mining,01 Apr 2022,01/04/2022,20/01/2023,,,,,,,
245,SIA/WB/MIS/288286/2022,WOODLANDS MULTISPECIALITY  HOSPITAL,INFRA-2,31 Aug 2022,11/08/2022,25/08/2022,31/08/2022,31/08/2022,,,,,
246,SIA/WB/MIN/440085/2023,Sindebong Khasmahal Sand Mine (MIN_KPG_2),Non-Coal Mining,11 Aug 2023,11/08/2023,,,28/08/2023,,,31/08/2023,,01/12/2023
247,SIA/WB/NCP/87142/2018,Commercial cum IT/ITES & Mixed Use Development,INFRA-1,23 Jan 2019,23/01/2019,04/01/2019,23/01/2019,25/01/2019,,,26/02/2019,,
248,SIA/WB/INFRA2/441704/2023,"CONSTRUCTION OF PROPOSED CONSTRUCTION OF 3 NOS. G+ONE STORIED BUILDING AT BLOCK A,B,C (BUILDING HEIGHT 22.20 M) UNDER GROUP-D  MERCANTILE IN MC – 9, KOLKATA WEST INTERNATIONAL CITY, HOWRAH",INFRA-2,20 Sep 2023,24/08/2023,05/09/2023,20/09/2023,22/09/2023,,,29/09/2023,,
249,SIA/WB/MIN/183020/2020,KATNA SAND MINE OF M/S DEBRAJ ENTERPRISE,Non-Coal Mining,11 Nov 2020,11/11/2020,,,09/12/2020,,,16/04/2021,,
250,SIA/WB/MIN/259966/2022,Bhattagram sand mine on Silabati River,Non-Coal Mining,21 Jan 2023,05/03/2022,20/01/2023,21/01/2023,24/01/2023,,,24/01/2023,,
251,SIA/WB/INFRA2/454099/2023,Environmental Clearance for proposed Expansion of  Residential Complex “Anantmani” ( Previously known as “Mani Imperial”) by  M/s Kolkata Metropolitan Development Authority,INFRA-2,02 Dec 2023,02/12/2023,,,,,,,,
252,SIA/WB/IND2/28702/2017,CAPACITY EXPANSION OF ULUBERIA LPG PLANT OF BPCL,Industrial Projects - 2,13 Aug 2018,13/08/2018,,,04/09/2018,,,08/09/2018,04/10/2018,16/11/2018
253,SIA/WB/IND2/26203/2017,INDIAN OIL CORPORATION LTD,Industrial Projects - 2,23 May 2018,23/05/2018,,,08/06/2018,,,15/06/2018,25/07/2018,02/08/2018
254,SIA/WB/MIN/57107/2016,Sand Mining Project,Non-Coal Mining,30 Nov 2016,30/11/2016,01/12/2016,30/11/2016,,,,,,
255,SIA/WB/INFRA2/420490/2023,RUBY,INFRA-2,01 Mar 2023,01/03/2023,13/03/2023,,,,,,,
256,SIA/WB/NCP/76041/2018,"""Hiland Bonochhaya""- Housing Project",INFRA-1,31 Aug 2018,31/08/2018,10/08/2018,31/08/2018,05/09/2018,,,08/09/2018,11/12/2018,
257,SIA/WB/MIN/264055/2022,JOYHAT SAND MINE,Non-Coal Mining,27 Mar 2022,27/03/2022,,,22/02/2023,,,27/02/2023,,
258,SIA/WB/MIN/263826/2022,HIZAL THAKURANIR CHAK SAND MINE,Non-Coal Mining,26 Mar 2022,26/03/2022,15/12/2022,,,,,,,
259,SIA/WB/MIN/263178/2022,Kawakhali 2 sand mine,Non-Coal Mining,27 Mar 2022,27/03/2022,,,,,,,,
260,SIA/WB/MIN/263497/2022,HIJAL SAND MINE,Non-Coal Mining,24 Mar 2022,24/03/2022,12/12/2022,,,,,,,
261,SIA/WB/MIS/52197/2018,M/s. RVD Waste Tech Private Limited,INFRA-2,10 Mar 2020,10/03/2020,,,24/06/2020,,,22/07/2020,07/10/2020,08/01/2021
262,SIA/WB/IND/226566/2021,Environmental Clearance for Rolling Mill Plant for MS Round / MS Flat production of M/s Bamlia Steel Udyog (P) Ltd. at Village: Dakshin Bansai; P.O: Raghunathpur; P.S: Uttarpara;  Dist.: Hooghly; West Bengal; PIN - 712245,Industrial Projects - 1,28 Aug 2021,28/08/2021,03/09/2021,,,,,,,
263,SIA/WB/IND/60630/2021,"Expansion of production from 36,000TPA with 3x50 TPD Kiln to 58,500 TPA with the installation of 3x65 TPD Preheaters",Industrial Projects - 1,28 Apr 2022,25/02/2022,14/03/2022,28/04/2022,24/05/2022,,,30/05/2022,,
264,SIA/WB/MIN/258165/2022,Lachhipur Quartz and Quartzite Mine,Non-Coal Mining,23 Jan 2023,15/03/2022,07/04/2022,,,,,,,
265,SIA/WB/MIN/194546/2021,sand river mining Dharalar river in Mahishmuri Mouza,Non-Coal Mining,31 Jan 2021,31/01/2021,,,05/04/2021,,,,,
266,SIA/WB/MIS/195897/2021,"Affordable housing at Aerotropolis Township, Andal Mouza, Andal Taluka, District Paschim Bardhaman, West Bengal, India",INFRA-2,03 Mar 2021,01/02/2021,25/02/2021,03/03/2021,19/03/2021,,,05/04/2021,08/05/2021,30/07/2021
267,SIA/WB/MIN/196592/2021,Gopiballavpur - II Sand Block MGB - 10 of Ashis Kumar Manna,Non-Coal Mining,05 Feb 2021,05/02/2021,,,05/04/2021,,,,,
268,SIA/WB/IND/27663/2017,Installation of 3 No. 15 MT Induction Furnaces with Ladle Refining Furnace and Continuous Caster and 1 Nos. 180000 Tonnes/ Annum Rolling mill,Industrial Projects - 1,04 Jun 2018,04/06/2018,,,11/06/2018,,,15/06/2018,25/07/2018,04/12/2018
269,SIA/WB/NCP/51314/2016,Tolly Towers,INFRA-1,08 Apr 2016,08/04/2016,11/03/2016,08/04/2016,08/04/2016,,,26/04/2016,,
270,SIA/WB/NCP/53653/2016,Tower Quest,INFRA-1,28 May 2016,28/05/2016,27/05/2016,28/05/2016,01/06/2016,,,17/06/2016,16/01/2017,
271,SIA/WB/NCP/71281/2017,Residential Complex by Rishinox Buildwell LLP,INFRA-1,13 Dec 2017,13/12/2017,12/12/2017,13/12/2017,28/12/2017,,,17/01/2018,31/03/2018,16/10/2019
272,SIA/WB/MIN/59763/2016,MONDALA BHATINA CLAY MINE,Non-Coal Mining,17 Oct 2016,17/10/2016,,,18/10/2016,,,03/11/2016,22/03/2017,18/09/2017
273,SIA/WB/NCP/28697/2017,"Expansion of Calcutta Riverside Township, Batanagar",INFRA-1,31 Aug 2018,31/08/2018,,,10/09/2018,,,29/09/2018,14/02/2019,11/02/2021
274,SIA/WB/MIN/69847/2017,Sand Mining,Non-Coal Mining,25 Sep 2017,25/09/2017,25/10/2017,,,,,,,
275,SIA/WB/MIN/437954/2023,Jagadishpur Sand Mine (MIN_UD_6),Non-Coal Mining,25 Jul 2023,25/07/2023,,,27/07/2023,,,28/07/2023,,05/10/2023
276,SIA/WB/IND1/445085/2023,Environmental Clearance for Rolling Mill Plant for MS Round/ MS Flat production of M/s Bamlia Steel Udyog (P) Ltd. at Village: Dakshin Bansai; P.O: Raghunathpur; P.S: Uttarpara; Dist.: Hooghly; West Bengal; PIN - 712245,Industrial Projects - 1,07 Oct 2023,20/09/2023,06/10/2023,07/10/2023,09/10/2023,,,12/10/2023,,
277,SIA/WB/MIN/415072/2023,Environmental clearance for proposed river bed sand mining having lease area 1.25 Ha of Katigram Sand Block Dwarka River. ,Non-Coal Mining,09 Feb 2023,09/02/2023,,,24/02/2023,,,04/03/2023,,
278,SIA/WB/MIN/194523/2021,Andaran Panishala Sand Mine,Non-Coal Mining,27 Jan 2021,27/01/2021,,,05/04/2021,,,,,
279,SIA/WB/MIS/107866/2019,Commercial Building for Trading (Business) and other Allied purposes,INFRA-2,17 Sep 2019,17/09/2019,18/06/2019,17/09/2019,25/09/2019,,,23/12/2019,,
280,SIA/WB/MIN/189909/2020,M/s Fiza Brick Field,Non-Coal Mining,12 Mar 2021,12/03/2021,19/11/2021,,,,,,,
281,SIA/WB/MIS/151481/2020,"Township project “Ankur” At Mouza – Nutanbankati, J.L. No. 446, Gaighata – 445, Jamberia – 445, Kulpheni – 456, P.S. – Salbani, P.O. - Saidpur, District – PaschimMedinipur, West Bengal",INFRA-2,09 Oct 2020,23/04/2020,24/07/2020,09/10/2020,,,,,,
282,SIA/WB/MIN/198237/2021,Gopiballavpur - II Sand Block MGB - 99 of Raju Mandal,Non-Coal Mining,15 Feb 2021,15/02/2021,,,19/03/2021,,,,,
283,SIA/WB/IND2/207364/2021,PROPOSED MANUFACTURING OF PHARMA INTERMEDIATE AND ACTIVE PHARMACEUTICAL INTERMEDIATE (API) / BULK DRUGS,Industrial Projects - 2,07 May 2021,31/03/2021,22/04/2021,07/05/2021,06/07/2021,,,25/07/2021,22/12/2021,
284,SIA/WB/IND/220471/2021,Rolling Mill Steel Plant,Industrial Projects - 1,16 Jul 2021,16/07/2021,,,,,,,,
285,SIA/WB/NCP/76050/2018,Housing Complex - Building & Construction Project,INFRA-1,10 Aug 2018,10/08/2018,02/08/2018,10/08/2018,10/08/2018,,,07/09/2018,19/09/2018,05/08/2019
286,SIA/WB/IND/5441/2014,-1,Industrial Projects - 1,08 Apr 2016,08/04/2016,08/04/2016,08/04/2016,29/04/2016,,,25/05/2016,,27/05/2015
287,SIA/WB/NCP/93719/2019,Lakewood Estate,INFRA-1,08 Mar 2019,08/03/2019,04/02/2019,08/03/2019,13/03/2019,,,29/04/2019,19/06/2020,08/10/2020
288,SIA/WB/MIN/409062/2022,Open Cast Riverbed Project,Non-Coal Mining,08 Dec 2022,08/12/2022,,,02/01/2023,,,16/01/2023,,
289,SIA/WB/MIN/415707/2023,MIN_BNK_50_II Sand Mine,Non-Coal Mining,30 Jan 2023,30/01/2023,,,30/01/2023,,,03/02/2023,,10/03/2023
290,SIA/WB/INFRA2/445168/2023,Mega Commercial Project by Bengal Bonded Warehouse Limited.,INFRA-2,21 Sep 2023,21/09/2023,,,09/10/2023,,,12/10/2023,,
291,SIA/WB/MIN/64756/2017,"MD. SAFIUL
CHITTAL GHATA SAND MINE 
19.27 ACRE 7.8 HA",Non-Coal Mining,04 Jul 2017,04/07/2017,01/06/2017,04/07/2017,12/07/2017,,,22/08/2017,14/04/2018,20/12/2017
292,SIA/WB/MIN/444113/2023,Halimpur Sand Mine,Non-Coal Mining,14 Nov 2023,13/09/2023,12/10/2023,14/11/2023,,,,,,
293,SIA/WB/IND3/404103/2022,"Expansion of Single Super Phosphate Plant by increasing capacity from 0.132 MTPA to 0.264 MTPA at- Dewanmara Aima, Kharagpur, Dist-West Medinipur by M/s. Sai Fertilizers Pvt. Ltd.  ",Industrial Projects - 3,15 May 2023,27/10/2022,07/02/2023,15/05/2023,05/06/2023,,21/12/2022,19/06/2023,,
294,SIA/WB/MIN/427417/2023,Panchbhaiya Riverbed Sand Mine (MIN_UD_03),Non-Coal Mining,29 Apr 2023,29/04/2023,,,14/06/2023,,,19/06/2023,,18/08/2023
295,SIA/WB/NCP/57612/2016,Residential cum Commercial Complex - Building and Construction Project,INFRA-1,16 Sep 2016,16/09/2016,22/07/2016,16/09/2016,19/09/2016,,,23/09/2016,,
296,SIA/WB/MIN/177970/2020,ULIARA SAND MINE OF M/S BASU AGROFARMS PRIVATE LIMITED,Non-Coal Mining,08 Oct 2020,08/10/2020,,,21/12/2020,,,28/06/2021,,
297,SIA/WB/MIN/261163/2022,Naldumra [Plot No. 46(P); J.L. No.- 82] sand deposit on Kangshabati River,Non-Coal Mining,11 Mar 2022,11/03/2022,07/12/2022,,,,,,,
298,SIA/WB/MIN/261297/2022,Chakdaulat [Plot No. 324(P); J.L. No.- 285] sand deposit on Kangshabati River,Non-Coal Mining,23 Feb 2023,12/03/2022,15/12/2022,23/02/2023,23/02/2023,,,27/02/2023,,
299,SIA/WB/MIN/41581/2019,,Non-Coal Mining,05 Dec 2022,09/09/2022,12/10/2022,05/12/2022,01/02/2023,,,09/02/2023,,
300,SIA/WB/MIN/188946/2020,GOYAL DANGA ARRAH BRICK EARTH MINE,Non-Coal Mining,19 Dec 2020,19/12/2020,04/01/2021,,,,,,,
301,SIA/WB/MIN/193035/2021,River bed Project with block number MSHB - 12,Non-Coal Mining,14 Jan 2021,14/01/2021,,,05/04/2021,,,,,
302,SIA/WB/MIN/228718/2021,"Nischintapur sand mine on Kangshabati river  at plot no: 1(P), 2(P), 3(P), 19(P) & 20(P), area of 3.60 Hectare/8.89 Acres J.L. No.-48, Mouza: Nischintapur, P.S. Medinipur, District: Paschim Medinipur, State: West Bengal.",Non-Coal Mining,20 Sep 2021,10/09/2021,17/09/2021,20/09/2021,,,,,,
303,SIA/WB/MIN/186103/2020,Sujapur Brick Soil Mining Project For M/s Gupta Brick Field,Non-Coal Mining,02 Dec 2020,02/12/2020,03/01/2021,,,,,,,
304,SIA/WB/MIN/200563/2021,SUN BRICKS,Non-Coal Mining,27 Feb 2021,27/02/2021,09/03/2021,,,,,,,
305,SIA/WB/MIN/249180/2021,STONE CRUSHER OF M/S SREE RAGHUNATH STONE CRUSHER UNIT,Non-Coal Mining,31 Dec 2021,31/12/2021,12/02/2022,,,,,,,
306,SIA/WB/MIS/261262/2022,Residential cum Commercial Complex,INFRA-2,25 Mar 2022,11/03/2022,16/03/2022,25/03/2022,07/04/2022,,,16/04/2022,,
307,SIA/WB/MIN/261813/2022,Maheshpur [Plot No. 318 (P); J.L. No.- 100] sand deposit on Kangshabati River,Non-Coal Mining,23 Feb 2023,15/03/2022,07/02/2023,23/02/2023,24/02/2023,,,04/03/2023,,
308,SIA/WB/MIN/216082/2021,"RASUNPUR SAND MINE (AREA-1.80 HECTARES) ON AJAY RIVER ON Plot No.-1673 (P).LOCATED AT MOUZA- RASUNPUR, P.S. - BARABANI, DISTRICT- PASCHIM BARDHAMAN, STATE- WEST BENGAL, JL NO. -16",Non-Coal Mining,24 Jun 2021,24/06/2021,,,31/07/2021,,,,,
309,SIA/WB/MIN/192263/2021,Narottambati Brick Earth Mine,Non-Coal Mining,02 Apr 2021,27/02/2021,15/03/2021,02/04/2021,26/04/2021,,,16/11/2021,,
310,SIA/WB/MIS/204112/2021,"Construction of Hospital Building of Gouri Devi Institute of Medical Science and Hospital (GIMSH) at Amlajora Panchayat, Kanksa Block, Paschim Bardhaman District",INFRA-2,11 Aug 2021,17/03/2021,18/03/2021,12/08/2021,17/08/2021,,,06/09/2021,,01/09/2023
311,SIA/WB/MIN/219686/2021,Amilasai River Bed Sand Mine,Non-Coal Mining,23 Mar 2022,13/07/2021,18/08/2021,23/03/2022,,,,,,
312,SIA/WB/MIN/243243/2021,Shirsa sand mine on Silabati river,Non-Coal Mining,07 Dec 2021,07/12/2021,,,,,,,,
313,SIA/WB/MIN/415591/2023,Bherabheri Sand Mine,Non-Coal Mining,31 Jan 2023,31/01/2023,,,24/02/2023,,,04/03/2023,,
314,SIA/WB/MIN/423510/2023,Nimai Riverbed Sand & stone Mine,Non-Coal Mining,29 Mar 2023,29/03/2023,,,04/04/2023,,,10/04/2023,,
315,SIA/WB/NCP/75339/2018,"Proposed Expansion of Hospital Complex of Employees State Insurance Corporation (ESIC) at Baltikuri, Dist. Howrah, West Bengal",INFRA-1,08 Jun 2018,08/06/2018,,,15/06/2018,,,26/07/2018,,
316,SIA/WB/MIN/63332/2017,sand mining project,Non-Coal Mining,21 Mar 2017,21/03/2017,22/03/2017,,,,,,,
317,SIA/WB/MIN/408625/2022,"Kogram Sand Mine on Ajay River, Ashok Kumar Saha",Non-Coal Mining,19 Jan 2023,30/11/2022,18/01/2023,19/01/2023,21/01/2023,,,24/01/2023,,
318,SIA/WB/MIN/231534/2021,Brick Earth Mine of M/S TPS BRICK INDUSTRIES (UNIT-1),Non-Coal Mining,03 Dec 2021,27/09/2021,24/02/2022,03/12/2021,,,,,,
319,SIA/WB/IND/208916/2021,"Expansion of existing Cement Grinding Plant from 0.96 MTPA (2 x 600 TPD Ball mill + 1 x 2000 TPD VRM) to 1.2596 MTPA under Clause 7 II (b) of EIA Notification, 2006 by process optimization, increasing the number of working hours per day and annual wo",Industrial Projects - 1,13 Apr 2021,13/04/2021,08/07/2021,,,,,,,
320,SIA/WB/MIN/171781/2020,"Granite Stone Quarry Upardanga Nort Block at  Talsankra,Purulia, WestBengal",Non-Coal Mining,14 Oct 2020,09/09/2020,09/10/2020,14/10/2020,01/11/2020,,,30/11/2020,13/03/2021,06/08/2021
321,SIA/WB/MIN/201797/2021,"Ajay River sand mining Project at Mouza - Kota, Block ID - 145",Non-Coal Mining,08 Mar 2021,08/03/2021,,,29/04/2021,,,,,
322,SIA/WB/MIS/55503/2019,Expansion of Residential Complex by Ganesh Tracom Pvt. Ltd. & Others,INFRA-2,30 Sep 2020,12/08/2020,29/09/2020,30/09/2020,05/10/2020,,,09/12/2020,,22/12/2022
323,SIA/WB/MIN/273925/2022,NIMAI SAND BLOCK SIL8,Non-Coal Mining,28 Nov 2022,20/05/2022,22/11/2022,28/11/2022,18/01/2023,,,24/01/2023,,
324,SIA/WB/MIN/186855/2020,M/s Elora Brick Field,Non-Coal Mining,09 Feb 2021,21/12/2020,04/01/2021,09/02/2021,18/02/2021,,,12/05/2021,,
325,SIA/WB/MIS/44974/2018,"Dong Fang Electric (India) Private Limited” at New Town, Rajarhat, Kolkata.",INFRA-2,18 Oct 2019,18/10/2019,,,14/11/2019,,,24/12/2019,28/02/2020,18/09/2020
326,SIA/WB/INFRA2/430382/2023,Expansion of Commercial Building for Trading (Business) & Other Allied Purposes by SRPM Haat LLP,INFRA-2,23 May 2023,23/05/2023,,,02/06/2023,,,12/06/2023,,05/10/2023
327,SIA/WB/MIN/432764/2023,Bhulka Riverbed Sand & Stone Mining Project,Non-Coal Mining,12 Jun 2023,12/06/2023,,,21/06/2023,,,23/06/2023,,
328,SIA/WB/NCP/30107/2018,"Setting up New AIIMS, Kalyani at Mouza-Basantpur, JL No.-90 & Mouza- Ghoragacha, JL No.-91, P.S- Chakdah, Dist-Nadia, West Bengal",INFRA-1,04 Dec 2018,04/12/2018,,,,,,,,
329,SIA/WB/MIN/412060/2022,Dhantali Sand Mine,Non-Coal Mining,28 Dec 2022,28/12/2022,,,03/01/2023,,,16/01/2023,,
330,SIA/WB/MIN/408406/2022,Phd  AMBARI  ,Non-Coal Mining,29 Nov 2022,29/11/2022,,,30/12/2022,,,02/01/2023,,
331,SIA/WB/NCP/17812/2016,Proposed Expansion (Phase – 2) of Residential Complex “MANI CASADONA” ,INFRA-1,22 Nov 2016,22/11/2016,,,01/12/2016,,,20/03/2017,22/06/2017,04/06/2018
332,SIA/WB/INFRA2/411149/2022,Expansion of Commercial Building for Trading (Business) and other Allied purposes by SRPM Haat LLP,INFRA-2,17 Dec 2022,17/12/2022,27/12/2022,,,,,,,
333,SIA/WB/MIN/424489/2023,"RIVER BED MINOR MINERAL” on Mahananda River Mouza-Duramarir Chhat,",Non-Coal Mining,01 Apr 2023,01/04/2023,,,29/05/2023,,,03/06/2023,,
334,SIA/WB/MIN/445874/2023,Benda Riverbed Sand MIne Project,Non-Coal Mining,02 Oct 2023,02/10/2023,12/10/2023,,,,,,,
335,SIA/WB/MIN/415157/2023,MIN_APD_22 Sand Mine,Non-Coal Mining,20 Feb 2023,29/01/2023,30/01/2023,20/02/2023,23/02/2023,,,27/02/2023,,05/07/2023
336,SIA/WB/MIS/288934/2022,Swayam City,INFRA-2,24 Aug 2022,17/08/2022,24/08/2022,24/08/2022,24/08/2022,,,29/08/2022,,01/02/2023
337,SIA/WB/MIS/60250/2018,RESIDENTIAL COMPLEX,INFRA-2,07 Jul 2023,27/01/2021,22/02/2021,,,,,,,
338,SIA/WB/MIN/264516/2022,RASULPUR SAND MINE,Non-Coal Mining,29 Mar 2022,29/03/2022,25/08/2022,,,,,,,
339,SIA/WB/MIN/264578/2022,IBRAHIMPUR  SAND MINE,Non-Coal Mining,29 Mar 2022,29/03/2022,15/12/2022,,,,,,,
340,SIA/WB/MIN/189879/2020,M/s B.K.S Brick Field,Non-Coal Mining,17 Jan 2021,17/01/2021,19/11/2021,,,,,,,
341,SIA/WB/MIN/190528/2020,"Owari Brick Earth Mine For M/s Sona Brick Field, Area 3.03 Acres",Non-Coal Mining,30 Dec 2020,30/12/2020,04/01/2021,,,,,,,
342,SIA/WB/MIN/262444/2022,Gopiballavpur - II Sand Block MGB - 65 of Soumen Gope,Non-Coal Mining,18 Mar 2022,18/03/2022,,,22/02/2023,,,27/02/2023,,
343,SIA/WB/MIN/264044/2022,Kotsimul Sand Mine on Mundeswari River Sudarshan Gupta,Non-Coal Mining,23 Dec 2022,29/03/2022,15/12/2022,23/12/2022,03/02/2023,,,09/02/2023,,
344,SIA/WB/MIN/263500/2022,HIJAL SAND MINE,Non-Coal Mining,25 Mar 2022,25/03/2022,12/12/2022,,,,,,,
345,SIA/WB/MIN/166445/2020,"Bhimbar Sand Mine (Area: 0.88 ha) on Kangshabati River Plot No. 392(P) & 393(P),, P.S. Keshpur, District- Paschim Medinipore",Non-Coal Mining,15 Sep 2020,15/09/2020,,,23/11/2020,,,21/12/2020,,
346,SIA/WB/IND/28743/2017,Installation of 2 x 7 Tonnes Induction furnaces with Ladle Refining Furnace and 8000 MT/ Month Rolling Mill,Industrial Projects - 1,27 Aug 2018,27/08/2018,,,05/09/2018,,,08/09/2018,04/10/2018,17/06/2019
347,SIA/WB/NCP/82457/2018,Housing Complex,INFRA-1,13 Oct 2018,13/10/2018,12/11/2018,,,,,,,
348,SIA/WB/MIN/435391/2023,Puncha Sand Mine (MIN_PUR_7),Non-Coal Mining,02 Jul 2023,02/07/2023,,,13/07/2023,,,14/07/2023,,20/09/2023
349,SIA/WB/MIS/74049/2018,ALTIUS,INFRA-2,04 Oct 2018,04/10/2018,12/11/2018,04/10/2018,,,,,,
350,SIA/WB/INFRA2/438194/2023,RESIDENTIAL PROJECT,INFRA-2,09 Oct 2023,08/08/2023,09/10/2023,09/10/2023,09/10/2023,,,12/10/2023,,
351,SIA/WB/MIN/424158/2023,RIVER BED SAND MINE AT MOUZA BOURNIVITA CHHAT,Non-Coal Mining,30 Mar 2023,30/03/2023,,,04/04/2023,,,10/04/2023,,
352,SIA/WB/INFRA2/430396/2023,Business/Assembly Building by Trinity Infrapark LLP,INFRA-2,24 May 2023,24/05/2023,,,31/05/2023,,,03/06/2023,,18/07/2023
353,SIA/WB/INFRA2/436164/2023,Residential Complex by Central Government Employees Welfare Housing Organisation (CGEWHO),INFRA-2,14 Jul 2023,14/07/2023,,,25/07/2023,,,28/07/2023,,
354,SIA/WB/NCP/58386/2016,proposed G+16 Residential Housing Project,INFRA-1,26 Aug 2016,26/08/2016,22/08/2016,26/08/2016,06/09/2016,,,07/09/2016,18/08/2017,
355,SIA/WB/IND1/404119/2022,"Proposed Installation Of 4x10t Induction Furnace & Rolling Mill For Production Of 1,32,000 Tpa Ms Billet And 1,05,600 Tpa Rolling Mill Products (Tmt, Wire Rods, Round, Flat, Square, Hex – Bars, Angles, Channel, Joist Etc.) At Plot No. A20, Panagarh Industrial Park, Dist. - Paschim Bardhaman, West Bengal ",Industrial Projects - 1,21 Nov 2022,28/10/2022,21/11/2022,21/11/2022,24/11/2022,,,28/11/2022,,05/04/2023
356,SIA/WB/NCP/63929/2017,Proposed New Haj Tower Complex,INFRA-1,12 Jun 2017,12/06/2017,19/04/2017,12/06/2017,12/06/2017,,,17/07/2017,,
357,SIA/WB/MIN/432443/2023,Binpur-1 Sand Mine (MIN_JH_02),Non-Coal Mining,13 Jun 2023,13/06/2023,,,21/06/2023,,,23/06/2023,,31/08/2023
358,SIA/WB/MIS/67289/2017,Ideal Aurum,INFRA-2,21 Sep 2017,21/09/2017,23/08/2017,21/09/2017,22/09/2017,,,18/10/2017,31/03/2018,03/02/2021
