,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
1,SIA/OR/IND2/51056/2020,51056/75-IND2/02-2020,"Production of 4.110 KLD of country liquor from the manufacturing unit of M/s Golanthara O.S. Shop of Sri Shyamaghana Sahu located at Jugudi under Kukudakhandi Tahsil of Ganjam district, Odisha.",Orissa,Ganjam,Golanthara,14 Feb 2020,01 Jul 2020,Industrial Projects - 2,SRI SHAMAGHANA SAHU,TOR GrantedL
2,SIA/OR/IND2/51051/2020,51051/74-IND2/02-2020,"Production of 2.214 KLD of country liquor from the manufacturing unit of Jugudi O.S. Shop of Sri Shyamaghana Sahu located at Jugudi under Kukudakhandi Tahsil of Ganjam district, Odisha",Orissa,Ganjam,Golanthara,14 Feb 2020,01 Jul 2020,Industrial Projects - 2,SRI SHAMAGHANA SAHU,TOR GrantedL
3,SIA/OR/IND2/51046/2020,51046/73-IND2/02-2020,"Production of 4.428 KLD of country liquor from manufacturing unit of C. Saradhapur O.S. Shop of Sri T. Jagganaikullu located at C. Saradhapur under Patrapur Tahsil of Ganjam district, Odisha.",Orissa,Ganjam,Patapur,13 Feb 2020,01 Jan 1900,Industrial Projects - 2,SRI T JAGANAIKULLU,TOR GrantedL
4,SIA/OR/IND2/51042/2020,51042/72-IND2/02-2020,"Production of 1.602 KLD of contry liquor from the manufacturing unit of Basudevpur O.S. Shop of Sri Udhaba Sahu located at Basudevpur under Digapahandi Tahsil of Ganjam district, Odisha",Orissa,Ganjam,Digapahandi,13 Feb 2020,01 Jul 2020,Industrial Projects - 2,SRI UDHAB SAHU,TOR GrantedL
5,SIA/OR/IND2/51040/2020,51040/71-IND2/02-2020,"Production of 4.332 KLD of mahua flower based country liquor from manufacturing unit of M/s Digapahandi O.S. Shop of Sri Udhaba Sahu located at Digapahandi under Digapahandi Tahsil of Ganjam district, Odisha.",Orissa,Ganjam,Digapahandi,13 Feb 2020,01 Jul 2020,Industrial Projects - 2,SRI UDHAB SAHU,TOR GrantedL
6,SIA/OR/MIN/26275/2018,To be assigned,Alanda Limestone & Dolomite Mine,Orissa,Sundargarh,Rajagangapur,12 Feb 2020, TOR Not Granted Yet,Non-Coal Mining,BD PATNAIK MINERALS PVT.LTD.,DelistedD
7,SIA/OR/MIN/50964/2020,To be assigned,Kharasrota River Sand at Ghantiali,Orissa,Jajpur,Binjharpur,12 Feb 2020, TOR Not Granted Yet,Non-Coal Mining,RAJKISHORE MISHRA,DelistedD
8,SIA/OR/IND2/50937/2020,50937/70-IND2/02-2020,"Proposal for shifting of location from Durbandha to Kanchuru for Production of 1.000 KLD Mahua Flower Based Country Liquor Manufacturing Unit,  Durbandha Main Out Still Shop at Kanchuru Village, Tehsil- Hinjilicut , Dist – Ganjam",Orissa,Ganjam,Hinjili,11 Feb 2020,01 Jun 2020,Industrial Projects - 2,SALMA   KHAN,TOR GrantedL
9,SIA/OR/MIN/50918/2020,To be assigned,Ambapua Sand Bed,Orissa,Ganjam,Bhanjanagar,10 Feb 2020, TOR Not Granted Yet,Non-Coal Mining,SRI SUNIL KUMAR MOHANTY,DelistedD
10,SIA/OR/IND2/50886/2020,50886/68-IND2/02-2020,"PRODUCTION OF 2.532 KLD MAHUA FLOWER BASED OUT STILL COUNTRY LIQUOR MANUFACTURING UNIT, MAIN O S LIQUOR SHOP, PATRAPUR, AT/P.O-C.SARADHAPUR COMMON DISTILLATION CENTRE,P.S: K. NUAGAON, TAHASIL: PATRAPUR, DIST. - GANJAM OF LICENSEE SRI TARA JAGANAIKULLU AND SMT. PANDAVA INDUMATI.",Orissa,Ganjam,Nuagaon,10 Feb 2020, TOR Not Granted Yet,Industrial Projects - 2,TARA JAGANAIKULLU,DelistedL
11,SIA/OR/IND2/50759/2020,To be assigned,"Proposal for shifting of location from Durbandha to Kanchuru for Production of 1.000 KLD Mahua Flower Based Country Liquor Manufacturing Unit,  Durbandha Main Out Still Shop at Kanchuru Village, Tehsil- Hinjilicut , Dist – Ganjam",Orissa,Ganjam,Hinjili,06 Feb 2020, TOR Not Granted Yet,Industrial Projects - 2,DURBANDHA O.S. SHOP AT KANCHURU,DelistedD
12,SIA/OR/IND/50708/2020,50708/10-IND/02-2020,"Environmental Clearance for existing Sponge Iron plant of 100 TPD (2 X 50 TPD) sponge iron production along with 23 TPD Dolchar and 3 TPD ESP dust, with proposed change in product mix i.e. 64 TPD reduced Magnetite iron ore and 107 TPD reduced Manganese ore (along with dolchar) and 3 TPD ESP dust from the same kilns within the existing facility by change in raw material mix from iron ore to low grade Mn Ore associated with iron ore (25-30% Fe & 25-30% Mn) for M/s. Sumrit Metaliks Pvt. Ltd. at vil",Orissa,Kendujhar,Barbil,05 Feb 2020,01 Jan 1900,Industrial Projects - 1,SUMRIT METALIKS PVT. LTD.,TOR GrantedL
13,SIA/OR/IND2/50629/2020,50629/67-IND2/02-2020,3.780 KLD PRODUCTION CAPACITY OF MOHUA FLOWER BASED COUNTRY DADHIAMAJHIGUDALIQUOR  O S SHOP UNDER KODINGA TAHASIL OF NABARANGAPUR DISTRICT,Orissa,Nabarangpur,Kodinga,03 Feb 2020,01 Jun 2020,Industrial Projects - 2,SRI PARASH GUPTA,TOR GrantedL
14,SIA/OR/IND2/49032/2019,49032/69-IND2/01-2020,"Production of 5.51 KLD Mahua flower based out still country liquor manufacturing unit M/s Bhatisalguda Main Out Still Liquor Shop, At/Mouza/Tahasil/ Dist.: Nabarangapur of the licensee Sri Subash Chandra Agrawal.",Orissa,Nabarangpur,Nabarangapur,25 Jan 2020, TOR Not Granted Yet,Industrial Projects - 2,SUBASH CHANDRA AGRAWAL,Rejection Letter GrantedL
15,SIA/OR/MIN/41457/2019,41457/18-MINB1/01-2020,"Udiagura China Clay Mines over an area  38.502 Ha in village Udiagura & Chindiri in Koraput dist,  Odisha of Lessee Sri Pentapati Lakshman Swamy",Orissa,Koraput,Koraput,21 Jan 2020, TOR Not Granted Yet,Non-Coal Mining,SRI PENTAPAPATI LAKSHMAN SWAMY,Rejection Letter GrantedL
16,SIA/OR/IND2/49870/2020,49870/65-IND2/01-2020,Banarpal Main Out Still Liquor Shop of Sri Bikram Kishore Sahoo for Production of Mahua Flower based Country Liquor of Capacity 4.947 KLD.,Orissa,Angul,Banarpal,17 Jan 2020, TOR Not Granted Yet,Industrial Projects - 2,BIKRAMKISHORE SAHOO,Rejection Letter GrantedL
17,SIA/OR/IND2/49839/2020,To be assigned,0.270 KLD PRODUCTION CAPACITY OF MOHUA FLOWER BASED COUNTRY LIQUOR AMTHAGUDA O S SHOP AT DIST KALAHANDI UNDER TH RAMPUR TAHASIL,Orissa,Kalahandi,Thuamul Rampur,16 Jan 2020, TOR Not Granted Yet,Industrial Projects - 2,SRI BANARASI MEHER,DelistedD
18,SIA/OR/IND2/49490/2020,49490/64-IND2/01-2020,"Rangathalli Main Out Still Liquor Shop of Sri Prakash Kumar Sahoo for production of Mahua Flower based Country Liquor. Licensed Capacity : 2.214 KLD,  Installed Capacity  : 2.197 KLD",Orissa,Dhenkanal,Motunga,07 Jan 2020, TOR Not Granted Yet,Industrial Projects - 2,PRAKASHKUMAR SAHOO,Rejection Letter GrantedL
19,SIA/OR/IND2/49489/2020,49489/63-IND2/01-2020,Pitiri Main Out Still Liquor Shop of Sri Prakash Kumar Sahoo for production of Mahua Flower based Country Liquor. Licensed Capacity : 1.266 KLD  Installed Capacity  : 1.237 KLD,Orissa,Dhenkanal,Parajang,06 Jan 2020, TOR Not Granted Yet,Industrial Projects - 2,PRAKASHKUMAR SAHOO,Rejection Letter GrantedL
20,SIA/OR/IND2/49484/2020,49484/62-IND2/01-2020,Natada Main Out Still Liquor Shop of Sri Prakash Kumar Sahoo for Production of Mahua Flower based Country Liquor. Licensed Capacity :3.510 KLD Installed Capacity :3.463 KLD,Orissa,Angul,Chhendipada,06 Jan 2020, TOR Not Granted Yet,Industrial Projects - 2,PRAKASHKUMAR SAHOO,Rejection Letter GrantedL
21,SIA/OR/IND2/49469/2020,To be assigned,Banarpal Main Out Still Liquor Shop of Sri Bikram Kishore Sahoo for Production of Mahua Flower based Country Liquor: Licensed Capacity :17.550 KLD Installed Capacity :17.310 KLD,Orissa,Angul,Banarpal,06 Jan 2020, TOR Not Granted Yet,Industrial Projects - 2,BIKRAMKISHORE SAHOO,DelistedL
22,SIA/OR/IND2/49408/2020,49408/66-IND2/01-2020,3162 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED BELLAGUNTHA MAIN O.S. SHOP  AT BELLAGUNTHA MOUZA AMBAPUA OF GANJAM DISTRICT,Orissa,Ganjam,Buguda,03 Jan 2020,01 Jun 2020,Industrial Projects - 2,NARAYAN SAHU,TOR GrantedL
23,SIA/OR/IND2/49226/2019,49226/61-IND2/12-2019,2.116 KLD PRODUCTION CAPACITY OF MOHUA FLOWER BASED COUNTRY LIQUOR OF GANJAM O S SHOP,Orissa,Ganjam,Chhatrapur,31 Dec 2019,18 Mar 2020,Industrial Projects - 2,T SRIDEVI PATRO,TOR GrantedL
24,SIA/OR/IND2/49225/2019,49225/60-IND2/12-2019,4.738 KLD PRODUCTION CAPACITY OF MOHUA FLOWER BASED COUNTRY LIQUOR SANA RAMACHANDRAPUR MAIN O S SHOP,Orissa,Ganjam,Chhatrapur,31 Dec 2019,18 Mar 2020,Industrial Projects - 2,T SRIDEVI PATRO,TOR GrantedL
25,SIA/OR/MIN/39494/2019,39494/14-MINB1/12-2019,Production of 90043 tpa of Iron ore from Nangalsila Iron ore Mines of Sri Gouri Shankar Choubey,Orissa,Mayurbhanj,Rairangpur,27 Dec 2019, TOR Not Granted Yet,Non-Coal Mining,SRI GOURI SHANKAR CHOUBEY,Rejection Letter GrantedL
26,SIA/OR/IND2/49041/2019,49041/59-IND2/12-2019,"Production of 1.386 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Jamla Main Out Still Shop at Jamla, Tahasil- Padampur, Dist- Bargarh",Orissa,Bargarh,Padmapur,27 Dec 2019,17 Mar 2020,Industrial Projects - 2,PRABHASH KUMAR SAHU,TOR GrantedL
27,SIA/OR/IND/48689/2019,48689/09-IND/12-2019,"Chrome Ore Beneficiation Unit of throughput capacity 18,500 TPA at village Pubala, district Jajpur, Odisha.",Orissa,Jajpur,Sukinda,19 Dec 2019,17 Jul 2020,Industrial Projects - 1,CHROME SAGAR,TOR GrantedL
