,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
1,SIA/OR/IND2/37527/2019,37527/26-IND2/06-2019,"PRODUCTION OF 3.48 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, M/s MAIN O S LIQUOR SHOP, HINJILICUT, AT-HINJILICUT COMMON DISTILLATION CENTRE, DIST. - GANJAM OF LICENSEE SMT. KALIA SETHI.",Orissa,Ganjam,Hinjili,09 Jun 2019,15 Oct 2019,Industrial Projects - 2,KALIA SETHI,TOR GrantedL
2,SIA/OR/IND2/37524/2019,37524/25-IND2/06-2019,"PRODUCTION OF  1.422 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, M/s MAIN O S LIQUOR SHOP,  BADAKHANDI (SAMARAJHOLA), AT-HINJILICUT COMMON DISTILLATION CENTRE, DIST. - GANJAM.",Orissa,Ganjam,Hinjili,08 Jun 2019,07 Dec 2019,Industrial Projects - 2,KALIA SETHI,TOR GrantedL
3,SIA/OR/IND2/37321/2019,37321/24-IND2/06-2019,"PRODUCTION OF 0.948 KLD MAHUA FLOWER BASED OUT STILL COUNTRY LIQUOR MANUFACTURING UNIT, MAIN O S LIQUOR SHOP BHUTASARASINGI (BADAKHARIDA),AT-BHUTASARASINGI,TAHASIL/P.S: PURUSHOTTAMPUR, DIST. - GANJAM OF LICENSEE SRI PREMANANDA SAHU.",Orissa,Ganjam,Purusottampur,07 Jun 2019,11 Oct 2019,Industrial Projects - 2,PREMANADA SAHU,TOR GrantedL
4,SIA/OR/MIN/37392/2019,To be assigned,Saindha Brick Earth,Orissa,Cuttack,Cuttack Sadar,06 Jun 2019, TOR Not Granted Yet,Non-Coal Mining,PRASANT KUMAR DALAI,DelistedD
5,SIA/OR/IND2/37320/2019,37320/23-IND2/06-2019,"Production of 0.861 KLD Mahua Flower Based Country Liquor Manufacturing Unit,  Palsama Main Out Still Shop at Palsama Village, Tehsil-Riamal , Dist –Deogarh, Odisha",Orissa,Debagarh,Reamal,04 Jun 2019,17 Mar 2020,Industrial Projects - 2,SRI RABI CHARAN SAHU & SRI ASHOK KUMAR SAHU,TOR GrantedL
6,SIA/OR/IND2/36933/2019,To be assigned,"Palsama O S Shop for Production of 0.861 KLD Mahua Flower Based Country Liquor Manufacturing Unit at Palsama Village, Tehsil-Reamal , Dist –Debagarh, Odisha",Orissa,Debagarh,Reamal,03 Jun 2019, TOR Not Granted Yet,Industrial Projects - 2,PALSAMA O S SHOP,DelistedD
7,SIA/OR/IND2/37169/2019,37169/22-IND2/06-2019,"PRODUCTION OF 1.896KLD MAHUA FLOWER BASED OUT STILL COUNTRY LIQUOR MANUFACTURING UNIT,  MAIN O S LIQUOR SHOP, GANGAPUR AT-MUDULIPALLI COMMON DISTILLATION CENTRE,P.o/P.S: BHANJANAGAR, DIST. - GANJAM OF LICENSEE SRI SANJAYA PRASAD.",Orissa,Ganjam,Bhanjanagar,01 Jun 2019,11 Oct 2019,Industrial Projects - 2,SANJAYA PRASAD,TOR GrantedL
8,SIA/OR/IND2/31733/2019,31733/21-IND2/06-2019,"PRODUCTION OF 1.896 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURING UNIT OF MAIN OUT STILL LIQUOR SHOP, DURBANDHA OF LICENSEE SALMA KHAN",Orissa,Ganjam,Hinjili,01 Jun 2019,03 Feb 2020,Industrial Projects - 2,SALMA KHAN,TOR GrantedL
9,SIA/OR/IND2/36705/2019,36705/20-IND2/05-2019,"PRODUCTION OF 2.214 KLD MAHUA FLOWER BASED OUT STILL COUNTRY LIQUOR MANUFACTURING UNIT OF MAIN OUT STILL LIQUOR SHOP, MORABAI, AT: MORABAI (COMMON DISTILLATION CENTRE),PO :PANDIA, P.S/TAHASIL: PURUSHOTTAMPUR, DIST: GANJAM OF LICENSEE SMT. HEMA SAHU.",Orissa,Ganjam,Purusottampur,30 May 2019,15 Oct 2019,Industrial Projects - 2,HEMA SAHU,TOR GrantedL
10,SIA/OR/IND2/36711/2019,36711/13-IND2/05-2019,"PRODUCTION OF 0.948 KLD MAHUA FLOWER BASED OUT STILL COUNTRY LIQUOR MANUFACTURING UNIT OF MAIN OUT STILL LIQUOR SHOP, NANDIKA, AT: MORABAI (COMMON DISTILLATION CENTRE),PO :PANDIA, P.S/TAHASIL: PURUSHOTTAMPUR, DIST: GANJAM OF LICENSEE SMT. HEMA SAHU.",Orissa,Ganjam,Purusottampur,24 May 2019,19 Oct 2019,Industrial Projects - 2,HEMA SAHU,TOR GrantedL
