,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
1,SIA/OR/MIN/56548/2020,56548/32-MINB1/09-2020,Dalpahar Iron & Mn Mines of shri D.C. Jain,Orissa,Kendujhar,Barbil,15 Sep 2020,15 Jan 2021,Non-Coal Mining,DALPAHAR IRON AND MANGANESE ORE MINES,TOR GrantedL
2,SIA/OR/MIN/56482/2020,56482/31-MINB1/09-2020,"Kunteshu Decorative Stone (Garnetiferous Granite Gneiss) Mines deposit over an area of 13.703 Hectares or 33.86 Acres located in Village Kunteshu No.52, under Tahasil: Bandhugaon, District: Koraput, Odisha.",Orissa,Koraput,Koraput,12 Sep 2020,16 Oct 2020,Non-Coal Mining,SRI NEMANI RAMKRISHNA,TOR GrantedL
3,SIA/OR/MIN/56471/2020,56471/30-MINB1/09-2020,"Anabadi Decorative Stone (Garnetiferous Granite Gneiss) Mines deposit over an area of 12.100 Hectares or 29.90 Acres located in village:Anabadi no.21, under Tahasil: Bandhugaon, district: Koraput, Odisha.",Orissa,Koraput,Koraput,12 Sep 2020,16 Oct 2020,Non-Coal Mining,SRI NEMANI RAMKRISHNA,TOR GrantedL
4,SIA/OR/MIN/56502/2020,56502/37-MINB1/09-2020,KHAIRABATHI STONE QUARRY OVER ANA AREA OF 18.594 OR 7.525 HECTARES IN VILLAGE KHAIRABATHI TAHASIL SHERAGADA UNDER GANJAM DISTRICT,Orissa,Ganjam,Asika,11 Sep 2020,18 Jan 2021,Non-Coal Mining,SRI MANTU KUMAR PATTNAIK,TOR GrantedL
5,SIA/OR/MIN/53591/2020,To be assigned,"Bipulingi Stone Quarry over an area of 20.007 acres or 8.097 hectares in village Bipulingi, Tahasil- Chatrapur, District- Ganjam",Orissa,Ganjam,Chhatrapur,11 Sep 2020, TOR Not Granted Yet,Non-Coal Mining,SMT. G. GAYATRI REDDY,DelistedL
6,SIA/OR/MIN/56427/2020,56427/29-MINB1/09-2020,"Environmental Clearance for Enhancement in production capacity from 80,000 TPA to 3,00,135 TPA of Iron ore with Opencast Semi-Mechanized Mining Method  Over Nayagarh Iron Ore Mines(ML Area 24.570 ha) of Sri K.C Pradhan at village Nayagarh Dist Keonjhar,,Odisha: Regarding ToRs",Orissa,Kendujhar,Barbil,10 Sep 2020,16 Oct 2020,Non-Coal Mining,K.C. PRADHAN,TOR GrantedL
7,SIA/OR/MIN/56432/2020,56432/36-MINB1/09-2020,PAKIDI SAND BED OVER AN AREA OF 28.720 ACRES OR 11.623 HECTARES IN VILLAGE PAKIDI OF TAHASIL SHERAGADA UNDER GANJAM DISTRICT,Orissa,Ganjam,Asika,09 Sep 2020,15 Jan 2021,Non-Coal Mining,SRI SUDHANIDHI CHOUDHURY,TOR GrantedL
8,SIA/OR/MIN/56165/2020,56165/28-MINB1/09-2020,"Bad agula Decoraative stone mines over an area of 12.019 Ha in vill: Bad agaula, Tahasil: Muniguda, Dist: Rayagada, Odisha of M/s Hindustan Minerals Limited",Orissa,Rayagada,Muniguda,04 Sep 2020,01 Jan 1900,Non-Coal Mining,M/S HINDUSTAN MINERALS INDUSTRIES,TOR GrantedL
9,SIA/OR/MIN/56193/2020,56193/27-MINB1/09-2020,Bada Agula Decorative Stone Mine over an area of 16.131Ha or 36.86Ac,Orissa,Rayagada,Muniguda,04 Sep 2020, TOR Not Granted Yet,Non-Coal Mining,M/S HINDUSTAN MINERALS INDUSTRIES,DelistedL
10,SIA/OR/MIN/56099/2020,56099/35-MINB1/08-2020,Madhapur Sand Quarry over an area of 12.50 Ac./ 5.059 Ha. on river Kusumi located at Madhapur village of Bhapur Tahasil in district of Nayagarh of State Odisha,Orissa,Nayagarh,Fategarh,31 Aug 2020,01 Jan 1900,Non-Coal Mining,BENUDHR PRADHAN,TOR GrantedL
