,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
1,SIA/OR/MIN/80990/2022,To be assigned,"Udbilika Stone Quarry Cluster (I,II,III,IV & VI) over an area of 18.20 Acers or 7.363 hectares the village Udbilika under Tahasil Boudh in District Boudh, State Odisha submitted under cluster approach with total cluster area 7.363 Hectares with consisting of 5 stone quarries.",Orissa,,,17-Mar-23, TOR Not Granted Yet,Non-Coal Mining,SRINIBASH MISHRA,Under examination of SEIAAL
2,SIA/OR/MIN/62655/2021,To be assigned,SULEIPALKUDA SAND QUARRY OVER AN AREA OF 12.684 ACRES OR 5.133 HECTARES IN VILLAGE SULEIPALKUDA UNDER BHUBAN TAHASIL OF DHENKANAL DISTRICT ODISHA,Orissa,Dhenkanal,Bhuban,16-Feb-23, TOR Not Granted Yet,Non-Coal Mining,GIRIJA SHANKAR MISHRA,Proposals returned to Proponent due to shortcomingD
3,SIA/OR/MIN/62730/2021,To be assigned,KANAPAL SAMIL MAHULPAL SAND QUARRY OVER AN AREA OF  24.63 ACRES OR 9.967 HECTARES IN VILLAGE KANAPL SAMIL MAHULPAL UNDER BHUBAN TAHASIL OF DHENKANAL DISTRICT ODISHA,Orissa,Dhenkanal,Bhuban,16-Feb-23, TOR Not Granted Yet,Non-Coal Mining,RATIKANTA  ROUT,Proposals returned to Proponent due to shortcomingD
4,SIA/OR/MIN/79663/2022,79663/313-MINB1/02-2023,"Kuakhai River Sand Quarry, Pandara over 18.62 Ha. or 46.00 Acres in Village Pandara under Bhubaneswar Tahasil of Khordha District, Odisha coming under cluster approach with total (Cluster area 18.62 + 22.26 Ha. = 40.88 Ha)",Orissa,,,04-Feb-23, TOR Not Granted Yet,Non-Coal Mining,MAHESH RAY,Agenda Uploaded by SEIAAL
5,SIA/OR/MIN/81100/2022,"B1-project,Submitted cluster application for ToR","Kaithapalli & Padmapur Stone Quarries Cluster over an area of 43.862 Acres or 17.748 hectares in village Kaithapalli & Padmapur, Tahasil Konisi in District Ganjam, State Odisha submitted under cluster approach with total cluster area 17.748 Hectares with consisting of 8 stone quarries",Orissa,,,23-Jan-23, TOR Not Granted Yet,Non-Coal Mining,SWAPNA PATTNAIK,Under examination of SEIAA after SEACL
6,SIA/OR/MIS/76437/2022,76437/1501-MIS/12-2022,Proposed Construction of New Hostel Block Building of XIM University Bhubaneswar,Orissa,,,24-Dec-22, TOR Not Granted Yet,INFRA-2,XIM UNIVERSITY,ADS by SEACL
7,SIA/OR/MIN/83090/2022,83090/311-MINB1/12-2022,"Kaliaguda & Badaborasingi Stone Quarries Cluster over an area of 68.825 acres or 27.853 hectare in the Village Kaliaguda & Badaborasingi, Tahasil Bellaguntha, District Ganjam, State Odisha submitted under cluster approach with total cluster area 27.853  Hectares with consisting of 2 stone quarries.",Orissa,,,23-Dec-22, TOR Not Granted Yet,Non-Coal Mining,MANAS PRADHAN,Under examination of SEIAA after SEACL
8,SIA/OR/MIN/62371/2021,To be assigned,6300 CUM PER YEAR MAXIMUM PRODUCTION CAPACITY OF HATAMAL SAND BED OVER AN AREA OF 15.00 ACRES OR 6.070 HECTARES IN HATAMAL VILLAGE UNDER TIGIRIA TAHASIL OF CUTTACK DISTRICT,Orissa,Cuttack,Tigiria,24-Nov-22, TOR Not Granted Yet,Non-Coal Mining,CHINTAMANI SAMAL,Proposals returned to Proponent due to shortcomingD
9,SIA/OR/MIN/55878/2020,To be assigned,"Jakar Stone Quarry over an area of 40.781 acres or 16.503 Hectares in the village Jakar, Tahasil Polasara in District Ganjam, State Odisha.",Orissa,Ganjam,Purusottampur,27-Oct-22, TOR Not Granted Yet,Non-Coal Mining,TAHASILDAR POLASARA,WithdrawTORD
10,SIA/OR/MIS/72851/2022,To be assigned,Residential Apartments “Krishna Sea Sight”,Orissa,,,26-Sep-22, TOR Not Granted Yet,INFRA-2,PABITRA ROUTRAY,Proposals returned to Proponent due to shortcomingD
11,SIA/OR/MIN/80758/2022,80758/304-MINB1/08-2022,"Turkel Sand Quarry-1 & 2 Cluster over an area of 10.00 hectares bearing Khata no. 221, Plot no. 270 in village Turkel, Tahasil- Kalahandi, District- Kalahandi State Odisha submitted under cluster approach with total cluster area 10.00 Hectares with consisting of 2 quarries.",Orissa,,,02-Sep-22,01-Jan-00,Non-Coal Mining,TAHASILDAR KALAHANDI,TOR GrantedL
12,SIA/OR/MIS/81409/2022,To be assigned,"Establishment of Common Hazardous Waste Treatment, Storage and Disposal Facility (CHWTSDF) at Village- Parmanpur, Teshil- Kolabira,District- Jharsuguda,  Odisha by Utkal Innovation",Orissa,,,30-Aug-22, TOR Not Granted Yet,INFRA-2,UTKAL INNOVATION,WithdrawTORL
13,SIA/OR/MIN/83024/2022,To be assigned,"Mahadeipur/Buguda Sand Bed over an area of 25.00  acres or 10.117 hectare bearing Khata no.20,143 in Plot no.  01 & 01 in the village Mahadeipur & Buguda, under Tahasil Paralakhemundi, District Gajapati, State Odisha submitted under cluster approach with total cluster area17.179 hectares with consisting of 2 sand quarries",Orissa,,,29-Aug-22, TOR Not Granted Yet,Non-Coal Mining,G. VENKATA RAMANA,DelistedD
14,SIA/OR/MIN/81604/2022,81604/303-MINB1/08-2022,"Chhatijhara Sand Quarry over an area of 15.468 acres or 6.260 hectare bearing Khata No.-175,Plot No.- 04,12,231& 250 in the Village Chhatijhara, Tahasil Tikabali, District Kandhamal, State Odisha",Orissa,,,26-Aug-22,03-Nov-22,Non-Coal Mining,TAHASILDAR TIKABALI,TOR GrantedL
15,SIA/OR/MIN/68473/2021,68473/302-MINB1/08-2022,"Gunakhal Sand Bed is a sand mining project over an area of 30.00 acres/ 12.140 Ha. located in village - Gunakhal, Tahasil - Kolnara in District - Rayagada of Odisha",Orissa,Rayagada,Rayagada,26-Aug-22,01-Jan-00,Non-Coal Mining,TAHSILDAR KOLNARA,TOR GrantedL
16,SIA/OR/MIN/82907/2022,To be assigned,"Haladi Sand Quarry-01, 02 & 03 (under cluster approach) is a sandsand mining project over an area of 38.705 acre at/mouza- Haladi, Tahasil/District- Nuapada",Orissa,,,25-Aug-22, TOR Not Granted Yet,Non-Coal Mining,DEBENDRA ROUT,DelistedD
17,SIA/OR/MIS/82404/2022,82404/14-MIS/08-2022,"Establishment of Common Hazardous Waste Treatment, Storage and Disposal Facility (CHWTSDF) at Village- Parmanpur, Teshil- Kolabira,District- Jharsuguda,  Odisha by Utkal Innovation",Orissa,,,24-Aug-22,15-Dec-22,INFRA-2,UTKAL INNOVATION,TOR GrantedL
18,SIA/OR/MIN/82731/2022,82731/297-MINB1/08-2022,"Kasili Stone Quarries Cluster  over an area of 15.00 acres or 6.070 hectares in mouza Kasili, Tahasil Rayagada in District Rayagada, State Odisha submitted under cluster approach with total cluster area 6.070 Hectares with consisting of 5 stone quarries.",Orissa,,,23-Aug-22,01-Jan-00,Non-Coal Mining,TAHASILDAR RAYAGADA,TOR GrantedL
19,SIA/OR/MIN/81071/2022,81071/296-MINB1/08-2022,"Arilo Jaipur Sand Sairat Over an area of 13.00 acres or 5.26 hectare in village Arilo & Jaipur under Tirtol Tahasil of Jagatsinghpur District, Odisha.",Orissa,,,22-Aug-22,01-Jan-00,Non-Coal Mining,SUJATA PATRA,TOR GrantedL
20,SIA/OR/MIN/82579/2022,82579/295-MINB1/08-2022,"Chandania Stone Quarries Cluster  over an area of 75.742 acres or 30.651 hectares in mouza Chandania Hill, Tahasil Kukudakhandi in District Kukudakhandi, State Odisha submitted under cluster approach with total cluster area 30.651 Hectares with consisting of 5 stone quarries",Orissa,,,21-Aug-22, TOR Not Granted Yet,Non-Coal Mining,TAHASILDAR KUKUDAKHANDI,ADS by SEACL
21,SIA/OR/MIN/82451/2022,82451/294-MINB1/08-2022,"Balalanga Stone Quarry - A, C, D submitted under cluster approach for mining of stone over an area of 12.148 Ha./ 30.09 Ac. located in Village- Balalanga, Tahasil- Maneswar in Sambalpur district of Odisha",Orissa,,,19-Aug-22,01-Jan-00,Non-Coal Mining,AJAY TIWARI,TOR GrantedL
22,SIA/OR/MIN/82391/2022,82391/285-MINB1/08-2022,"Odasinga and Keutabhuin Sand Cluster (Odasinga Sand Quarry- 140.457 Ha And Keutabhuin Sand Quarry – 35.289 Ha), Total Cluster Area 175.746 Ha in village Odasinga and Keutabhuin of Puruna Mantiri Gram Panchayat under Athmallik Tahasil of Angul District of Odisha",Orissa,,,17-Aug-22,17-Jan-23,Non-Coal Mining,SOFI SAINIKA,TOR GrantedL
23,SIA/OR/MIN/82363/2022,To be assigned,"Balalanga Stone Quarry- D (under total cluster area 12.148 Ha. of 3 stone quarries) is a stone (road metal) mining project over an area of 4.816 Ha.  /  11.90  acres  is  located  in  village  -  Balalanga,  Tahasil – Maneswar,  District  - Sambalpur in Odisha",Orissa,,,16-Aug-22, TOR Not Granted Yet,Non-Coal Mining,AJAY TIWARI,DelistedD
24,SIA/OR/MIN/82362/2022,To be assigned,"Balalanga Stone Quarry- C (under total cluster area 12.148 Ha. of 3 stone quarries) is a stone (road metal) mining project over an area of 4.977 Ha.  /  12.30  acres  is  located  in  village  -  Balalanga,  Tahasil – Maneswar,  District  - Sambalpur  of  Odisha",Orissa,,,16-Aug-22, TOR Not Granted Yet,Non-Coal Mining,AJAY TIWARI,DelistedD
25,SIA/OR/MIN/82349/2022,To be assigned,"Balalanga Stone Quarry- A over an area of 2.355 Ha./ 5.82 Ac. (submitted under cluster approach of total area 12.148 Ha.) located in Village- Balalanga, Tahasil- Maneswar in Sambalpur district of Odisha",Orissa,,,14-Aug-22, TOR Not Granted Yet,Non-Coal Mining,AJAY TIWARI,DelistedD
26,SIA/OR/MIN/82350/2022,82350/293-MINB1/08-2022,"Pakidi Sand Bed over an area of 28.720 acres or 11.623 hectares  bearing Khata no.  507, Plot no. 01 in village Pakidi, Tahasil Sheragada, District Ganjam, with proposed production capacity of 100002 Cum per annum",Orissa,,,14-Aug-22, TOR Not Granted Yet,Non-Coal Mining,SRI SUDHANIDHI CHOUDHURY,Rejection Letter GrantedL
27,SIA/OR/MIN/82171/2022,To be assigned,Keutabhuin Sand Quarry over an area of 87.20 Acres or 35.289 hectares (cluster area 434.27 Acres or 175.746 Ha) in village Keutabhuin of Puruna Mantiri Gram Panchayat under Athmallik Tahasil of Angul District of Odisha,Orissa,,,10-Aug-22, TOR Not Granted Yet,Non-Coal Mining,SOFI SAINIKA,DelistedD
28,SIA/OR/MIN/82165/2022,To be assigned,Odasinga Sand Quarry over an area of 347.07 Acres or 140.457 hectares (Cluster area 434.27 Acres or 175.746 Ha) in village Odasinga of Puruna Mantiri Gram Panchayat under Athmallik Tahasil of Angul District of Odisha.,Orissa,,,10-Aug-22, TOR Not Granted Yet,Non-Coal Mining,SOFI SAINIKA,DelistedD
29,SIA/OR/MIN/81256/2022,81256/292-MINB1/08-2022,"Kushabhadra River Sand Quarry, Kesura over 16.25 Ha. or 40.16 Acres in village Kesura under Bhubaneswar Tahasil of Khordha District, Odisha",Orissa,,,09-Aug-22,01-Jan-00,Non-Coal Mining,PRADEEP SAHOO,TOR GrantedL
30,SIA/OR/MIN/81258/2022,81258/291-MINB1/08-2022,"Gandarpur River Sand Source, Gandarpur over 12.14 ha or 30.00 acres in village Gandarpur under Bhubaneswar Tahasil of Khordha District, Odisha",Orissa,,,09-Aug-22,01-Jan-00,Non-Coal Mining,PRADEEP SAHOO,TOR GrantedL
31,SIA/OR/MIN/82028/2022,82028/290-MINB1/08-2022,"Badabankapada Sand Quarry over an area of 13.500 acres or 5.463 Hectares bearing khata No. 113, Plot No. 372& 355 in the village Badabankapada,Tahasil Harabhanga (Charichhak), District Boudh, State Odisha.",Orissa,,,08-Aug-22,01-Jan-00,Non-Coal Mining,TAHASILDAR HARABHANGA,TOR GrantedL
32,SIA/OR/MIN/81911/2022,81911/280-MINB1/08-2022,"Kusumi & Mohuda Stone Quarries Cluster  over an area of 27.258 Acers or 11.139 hectares in village Kusumi & Mohuda, Tahasil Kukudakhandi in District Kukudakhandi, State Odisha submitted under cluster approach with total cluster area 11.139 Hectares with consisting of 5 stone quarries.",Orissa,,,06-Aug-22,01-Jan-00,Non-Coal Mining,TAHASILDAR KUKUDAKHANDI,TOR GrantedL
33,SIA/OR/MIN/77960/2022,77960/94-MINB1/07-2022,"Patabeda Iron and Manganese mines for expansion of production of iron ore from 180000 TPA to 572305 TPA along with Crushing and Screening plants located in village Patabeda under Koira Tahsil in Sundargarh district, Odisha.",Orissa,,,28-Jul-22,03-Nov-22,Non-Coal Mining,M/S. M G MOHANTY,TOR GrantedL
34,SIA/OR/MIN/79354/2022,To be assigned,"Chandania Stone Quarry over an area of 30.927 acres or 12.516 hectares bearing Khata no. 117, Plot no. 08,10,02,25 & 5/307 in village Chandania, Tahasil Kukudakhandi, District Ganjam State Odisha submitted under cluster approach with total cluster area 42.258 Hectares with consisting of 9 stone quarries.",Orissa,,,21-Jul-22, TOR Not Granted Yet,Non-Coal Mining,SATYA DAS,DelistedD
35,SIA/OR/MIN/79357/2022,To be assigned,"Chandania Stone Quarry over an area of 10.490 acres or 4.245 hectares bearing Khata no. 117, Plot no. 86 in village Chandania, Tahasil Kukudakhandi, District - Ganjam State Odisha submitted under cluster approach with total cluster area 42.258 Hectares with consisting of 9 stone quarries.",Orissa,,,21-Jul-22, TOR Not Granted Yet,Non-Coal Mining,SATYA DAS,DelistedD
