,Unnamed: 0,X...,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
0,1,1,SIA/BR/MIN/34679/2019,,Proposed Sand Mining Project of area 5.0 ha at Jaymangla Manoj   Ghat Simariya on Ganga River of District- Begusarai of State- Bihar,RADHA SWAMI AUTOMOBILES,Pending at PP due to eds,EC,, 
1,2,2,SIA/BR/MIN/34086/2019,,Dina patti Sand Ghat on Parwana River,SUJEET KUMAR,Pending at PP due to eds,EC,, 
2,3,3,SIA/BR/IND/32752/2018,SIA/3(a)/532/18,Kamper Concast Ltd,KAMPER CONCAST LIMITED,Delisted,EC,, 
3,4,4,SIA/BR/MIS/272191/2022,SIA/8(a)/2033/2022,Medical & Allied Sciences Campus (KK Medical College & Hospital) A Unit of Samajik Kalyan Sanstha,SAMAJIK KALYAN SANSTHA,EC Granted,EC,, 
4,5,5,SIA/BR/MIN/137921/2020,,"Brick Earth Mining Project at Village- Barki Hardiya, P.o.- Barki Hardiya, P.S.- Jagdishpur, Dist.- Bhojpur (Bihar)",M/S- MAHAL INT UDYOG,Delisted,EC,, 
5,6,6,SIA/BR/MIN/138625/2020,,"LACHHMINIYA SAND GHAT (SAPTGANDHI RIVER), APPLICANT- MR. SUJEET KUMAR, AREA- 0.8 HA., VILLAGE- LACHHMINIYA, DISTRICT- SUPAUL (BIHAR)","MR. SUJEET KUMAR, DISTRICT- SUPAUL, BIHAR",Delisted,EC,, 
6,7,7,SIA/BR/MIN/138332/2020,,"Vrindavan (Khasra No. 4668, 4680, 4876, 4783, 4772, 4782, 4779, 4776, 4760, 4761, 4778, 4773, 4777, 4779, 4762, 4380, 4783 ) soil brick mining project.",M/S LAXMI INT UDYOG,Delisted,EC,, 
7,8,8,SIA/BR/MIS/66584/2021,21-55/2021-IA-III,"Proposed Residential Building “Kashyap Green City, Phase-2” by Kashyap Green Homes Pvt. Ltd.",KASHYAP GREEN CITY PHASE-2,WithdrawEC,EC,, 
8,9,9,SIA/BR/MIN/30938/2019,SIA/1(a)/545/18,"Maliya Sand Ghat Mining Project of Area 24.5 ha of Lakhisarai District, Bihar on Kiul River",WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
9,10,10,SIA/BR/MIN/138815/2020,,ORDINAY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD MAUZA BALHA MANSI KHAGARIA,BSCPL INFRASTRUCTURE LTD. MAUZA BALHA AREA 11.95 AC 4.83,Delisted,EC,, 
10,11,1,SIA/BR/MIN/34041/2019,,Proposed Sand Mining Project  of area  1.5  ha at Mahuli  Ghat on  Bhalua River of District- Sheikhpura of State-Bihar.,MS KATYAYNI CONTRACTORS PRIVATE LIMITED,Pending at PP due to eds,EC,, 
11,12,2,SIA/BR/MIN/31524/2019,SIA/1(a)/637/19,"Sand mining project at Pareo ghat on Son river over an area of 23 ha in district Patna, Bihar",BROADSON COMODITIES PVT LTD,EC Granted,EC,, 
12,13,3,SIA/BR/MIN/143936/2020,,BRICK EARTH MINING PROJECT FOR M/S PREET INT UDYOG MAUZA BAJPATTI ABIDPUR BAJPATTI SITAMARHI AREA 3.06,M/S PREET INT UDYOG PROP BIJENDRA KUMAR AREA 3.06,Delisted,EC,, 
13,14,4,SIA/BR/IND/18661/2017,,SHIVSHIVA STEEL PVT LTD,SHIVSHIVA STEEL PVT LTD,Delisted,EC,, 
14,15,5,SIA/BR/MIN/137295/2020,,"BRICK EARTH MINING PROJECT FOR M/S SAINIK INT BHATTA MAUZA JAINAGRA, TILAUTHU, DISTRICT ROHTAS AREA 3.44 Ac, 1.39 Ha",M/S SAINIK INT BHATTA PROP RAM PAL SINGH,Delisted,EC,, 
15,16,6,SIA/BR/MIN/136505/2020,,"Proposed Brick Earth Mining Project of Area 3.85 Acres or 1.55 Hectare for M/S Shivam Int Udyog at Mauza- Mahishar, P.O- Jakhar, P.S- Rosera, Block- Shivajinagar, District- Samastipur, State – Bihar",M/S SHIVAMINTUDYOG,Delisted,EC,, 
16,17,7,SIA/BR/MIN/136807/2020,,"Proposed Brick Earth Mining Project of Area 3.09 Acres or 1.25 Hectare for M/S Bharat Int Udyog at Mauza: Murraha, P.O- Sasan, P.S + Block- Hassanpur, District- Samastipur, State - Bihar",M/S BHARATINTUDYOG,Delisted,EC,, 
17,18,8,SIA/BR/MIN/31428/2019,SIA/1(a)/632/19,"Sand mining project on Khamkaranpur & Ahimanchak ghat on Son river of District Bhojpur, Bihar",BROADSON COMODITIES PVT LTD,EC Granted,EC,, 
18,19,9,SIA/BR/MIN/131350/2019,,"Proposed Brick Earth Mining Project of Area 3.26 Acres or 1.32 Hectare for M/S Krishna Bricks at Mauza: Dath & Nayanagar, P.S + Block- Hasanpur , District- Samastipur, State- Bihar",M/S KRISHNA BRICKS,Delisted,EC,, 
19,20,10,SIA/BR/MIN/138886/2020,,"Brick Earth Mining Project at Village- Badauan, P.O- Dumri, P.S+Anchal- Fatehpur, District- Gaya(Bihar)",M/S- S.M.C EET UDYOG,Delisted,EC,, 
20,21,1,SIA/BR/MIN/131459/2019,,"CHAKIA M/S TARA INT UDYOG with production capacity 4708.62 TPA at Mauza- Chakia, Thana No.- 157, Khata No. 118. Plot No. 1205, 1141, 1143 & 1229. Area,2.50 Ac, 1.01 Ha, P.S. + Circle- Dehri on Sone, D",M/S TARA INT UDYOG PRAT:-IFTAKHARAHMAD,Delisted,EC,, 
21,22,2,SIA/BR/MIN/129529/2019,,"Proposed Brick Earth Mining Project of Area 1.21 Hectare Or 3.00 Acre M/s Shan Bricks at Mauza- Madhopur, P.O + P.S + Block- Bakhtiyarpur, District- Patna, State- Bihar",M/S SHAN BRICKS,Delisted,EC,, 
22,23,3,SIA/BR/MIN/128770/2019,,M/s Vikash Enterprises,M/S VIKASH ENTERPRISES,Delisted,EC,, 
23,24,4,SIA/BR/MIN/145088/2020,,"Proposed Brick Earth Mining Project of Area 1.35 Hectare Or 3.33 Acre M/s Jay Guru Dev Int Udyog  at  Vill/Mauza-  Garhatha Khurd, P.O-  Barhampur, P.S + Block- Barhampur, District- Buxar, State - Bih",M/S JAI GURU DEV INT UDYOG,Delisted,EC,, 
24,25,5,SIA/BR/MIN/51625/2020,,Final EIA report of Jamui Kiul 6 Balu ghat,ATIK ENTERPRISES,Delisted,EC,, 
25,26,6,SIA/BR/MIN/136326/2020,,"BRICK EARTH MINING PROJECT FOR M/S ROSE BRICKS APM MAUZA- GORGAON, KORHA, KATIHAR, AREA- 2.82 Ac, 1.14 Ha","M/S. ROSE BRICKS (AMP) PROP MD. AZHARUL HAQUE, GORGAON",Delisted,EC,, 
26,27,7,SIA/BR/MIN/136410/2020,,M/s Maa Bricks Field,M/S MAA BRICKS FIELD,Delisted,EC,, 
27,28,8,SIA/BR/MIN/136174/2020,,M/s RKS Int Udyog,M/S RKS INT UDYOG,Delisted,EC,, 
28,29,9,SIA/BR/MIN/137403/2020,,BRICK EARTH MINING PROJECT FOR M/S SAINIK INT BHATTA AREA 3.44 Ac 1.39 Ha,M/S SAINIK INT BHATTA PROP RAM PHAL SINGH,Delisted,EC,, 
29,30,10,SIA/BR/MIN/35637/2019,,"Proposed Brick Earth Mining Project of Area 2.28 Acres or 0.92 Hectare M/s Mahal  Bricks  at Mauza + P.O- Sherpur, P.S + Block- Maner, District- Patna, State- Bihar",MS MAHAL BRICKS,Pending at PP due to eds,EC,, 
30,31,1,SIA/BR/MIN/131742/2019,,Proposed Brick Earth Mining,MS JIYA BRICKS,Delisted,EC,, 
31,32,2,SIA/BR/MIN/146884/2020,,ORDINARY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE  LTD.,BSCPL INFRASTRUCTURE LTD MAUZA MADAR AREA 9.36 AC,Delisted,EC,, 
32,33,3,SIA/BR/MIN/146455/2020,,"Brick Earth Mining Project at Mauza- Shahpur, P.O- Daudpur, P.S - Shahpur, District- Patna(Bihar)",M/S PUJA BRICKS,Delisted,EC,, 
33,34,4,SIA/BR/MIN/148472/2020,,"Proposed Brick Earth Mining Project of Area 4.08 Acres or 1.65 Hectare for M/S  Shree Kamalia Udyog  at Mauza- Hatho Chak, P.O- Bahadurpur, P.S + Block- Rajauli,   District- Nawada, State - Bihar",M/S SHREE KAMALIA UDYOG,Delisted,EC,, 
34,35,5,SIA/BR/MIN/38009/2019,,"Report of Brick Earth Mining Project of Area 2.22 Acres or 0.90 Hectare for M/s R.P.S Bricks at Mauza: Lodipur, Sherpur, P.O: Byapur, Sherpur, P.S: Maner, District: Patna, State: Bihar.",MS RPS BRICKS,Pending at PP due to eds,EC,, 
35,36,6,SIA/BR/MIN/51727/2020,,Balu Ghat Mining Project (Patna Son 4 Balu Ghat) at Riverbed Of Son River.,SRI RANJIT KUMAR RAI,Delisted,EC,, 
36,37,7,SIA/BR/MIS/187703/2020,SIA/8(a)/1275/2021(EXP.),"Proposed Expansion and Modification Commercial and residential Building “Orbito/Orbit” at  Mauza- Mustafapur, Pargana - Phulwari, Thana No.-36, Danapur, District- Patna, Bihar by M/s Mundeshwari Multicon Pvt. Ltd.",MUNDESHWARI MULTICOM PVT. LTD.,EC Granted,EC,, 
37,38,8,SIA/BR/MIN/33396/2019,,Proposed Sand Mining Project  of 4.9 ha at Siswan ghat on Ghaghra (Sarayu) River of  District-Siwan  of State-Bihar.,M S BALAJI ENTERPRISES,Pending at PP due to eds,EC,, 
38,39,9,SIA/BR/MIN/131092/2019,,"Dighaun M/S. N. P. S. INT UDYOG. With production capacity 5081.58 TPA  Mauza - Dighaun, Thana No.- 144, Khata no. 18 & 73. Plot no. 2385 & 29. Area, 2.70 Ac 1.09 ha P.S.- Beldaur, Circle - Beldaur, Di",M/S N.P.S. INT UDYOG PROP:-SARITA DEVI,Delisted,EC,, 
39,40,10,SIA/BR/MIN/142974/2020,,BRICK EARTH MINING PROJECT FOR M/S BHARAT & RAJA INT UDYOG MAUZA BHAWANIPUR SANGRAMPUR EAST CHAMPARAN AREA 2.93 Ac,M/S BHARAT & RAJA INT UDYOG,Delisted,EC,, 
40,41,1,SIA/BR/MIN/131486/2019,,Proposed Brick Earth Mining,MS HINDI KAMAL INT,Delisted,EC,, 
41,42,2,SIA/BR/MIN/135863/2020,,"BRICK EARTH MINING PROJECT FOR M/S BHAWAN INT UDYOG, MAUZA- PABHERA, CIRCLE- DHANARUA, DISTRICT- PATNA, AREA- 2.66 Ac, 1.07 Ha",BHAWAN INT UDYOG PABHERA,Delisted,EC,, 
42,43,3,SIA/BR/MIN/136024/2020,,"BRICK EARTH MINING PROJECT FOR M/S. DIVYA SHAKTI INT UDYOG, MAUZA- KARASA, CIRCLE- BIKRAM, DISTRICT- PATNA, AREA- 2.59 Ac, 1.05 Ha","M/S. DIVYA SHAKTI INT UDYOG, PROP-MUKESH KUMAR SINHA",Delisted,EC,, 
43,44,4,SIA/BR/MIS/226294/2021,SIA/8(a)/1283/2021,Proposed Commercial and Residential Building “Nutan Crescent II” by Nutan Construction,NUTAN CRESCENT II,EC Granted,EC,, 
44,45,5,SIA/BR/MIS/66586/2021,SIA/7(g)/1875/2022,"Passenger Ropeway at  Pretshilla Hills, Gaya , Bihar",BIHAR STATE TOURISM DEVELOPMENT CORPORATION LIMITED,EC Granted,EC,, 
45,46,6,SIA/BR/MIS/166863/2020,,"Proposed Jalalpur Residential with commercial building complex at Saristabad, Patna, Bihar",APARNA ARCHITECT & ASSOCIATE,Delisted,EC,, 
46,47,7,SIA/BR/MIN/129802/2019,,"Rupauli (Khasra/Plot(s) No. 8119, 8118, 8196, 8098, 8112, 8084, 8313, 8314, 8272, 8273, 8274 & 1352) soil brick mining project.",M/S R.N.S. TRADERS ( SAMRAT ),Delisted,EC,, 
47,48,8,SIA/BR/MIN/130293/2019,,Brick Earth Mining Project M/s. Vikash Int Udyog,M/S VIKASH INT UDYOG,Delisted,EC,, 
48,49,9,SIA/BR/MIN/130671/2019,,Proposed Brick Earth Mining Project,D.R.C BRICKS,Delisted,EC,, 
49,50,10,SIA/BR/MIN/131807/2019,,"Bricks Earth Mining Project at Mauza- Korai, P.O- Korai, P.S- Garhpura, District- Begusarai (Bihar)",M/S MUSKAN BRICKS,Delisted,EC,, 
50,51,1,SIA/BR/MIN/35673/2019,,Sardahan Sand Ghat on Chilauni   RiverSardahan Sand Ghat on Chilauni   River,SUJEET KUMAR,Pending at PP due to eds,EC,, 
51,52,2,SIA/BR/MIS/121529/2019,SIA/8(a)/695/19,Ashiyana Green City (Phase-2),ASHIANA CREATORS PRIVATE LIMITED,EC Granted,EC,, 
52,53,3,SIA/BR/MIN/132103/2019,,"Brick Earth Mining Project at Village- Daulatpur, P.O- Daulatpur, P.S- Khodabandpur, District- Begusarai (Bihar)",M/S- PRAMILA INT UDYOG,Delisted,EC,, 
53,54,4,SIA/BR/MIN/132132/2019,,"Proposed Brick Earth Mining Project of Area 1.06 Hectare Or 2.62 Acre M/s. W.S.S Bricks at Mauza- Murila, P.S + Block- Ramnagar, District- West Champaran, State- Bihar",M/S. W.S.S BRICKS,Delisted,EC,, 
54,55,5,SIA/BR/MIN/132309/2019,,"Brick Earth Mining Project of Area 4.50 Acres or 1.82 Hectare M/S OM Traders & Int Udyog at Mauza- Garurha, P.O- Narkatiyaganj, P.S – Shikarpur, Block- Narkatiyaganj, District- West Champaran, State -",M/S OM TRADERS & INT UDYOG,Delisted,EC,, 
55,56,6,SIA/BR/MIN/134858/2020,,SUGAULI AND CHAND PARSA BALU GHAT,"SUGAULI AND CHAND PARSA BALU GHAT, EAST CHAMPARAN ,  SHRI VINAY KUMAR",Delisted,EC,, 
56,57,7,SIA/BR/MIN/132707/2019,,"Kapa Kala M/S SHYAM BRICKS MANUFACTURING CO. Earth Mining Project , Mauza - Kapa Kala Thana No -151 Khata No.- 44, 52, 557, 564 & 571, Plot No.- 1217, 1218, 1222, 1302, 1306, 1310 & 1313,Area-1.15Ha o",M/S SHYAM BRICKS MANUFACTURING CO. PROP-KAMLESH KUMAR,Delisted,EC,, 
57,58,8,SIA/BR/IND/73390/2021,SIA/3(a)/1849/2021,M/s Tejas Iron & Steel Pvt. Ltd.,M/S TEJAS IRON & STEEL PVT. LTD.,EC Granted,EC,, 
58,59,9,SIA/BR/MIN/33647/2019,,Sangrampur Sand Ghat on Belharni River,KATYAYNI CONTRACTORS PVT. LTD.,Pending at PP due to eds,EC,, 
59,60,10,SIA/BR/MIN/33988/2019,,Proposed Sand Mining Project of area 3.0 ha at Rahicha Kabirpur  Ghat on Sakari River of District- Sheikhpura of State-Bihar.,MS KATYAYNI CONTRACTORS PRIVATE LIMITED,Pending at PP due to eds,EC,, 
60,61,1,SIA/BR/MIS/251819/2022,SIA/8(a)/1853/2022,Proposed Commercial cum Residential Building “Umeed Nagar Township” by Umeed Builder & Constructor Pvt. Ltd.,UMEED BUILDER & CONSTRUCTOR PVT. LTD.,EC Granted,EC,, 
61,62,2,SIA/BR/MIN/30933/2019,SIA/1(a)/549/18,"Nagardar Sand ghat Mining Project of area 23.50 of District Lakhisarai , Bihar On Kiul River",WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
62,63,3,SIA/BR/MIN/30943/2019,SIA/1(a)/577/18,Dumri Sand Ghat Mining Project,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
63,64,4,SIA/BR/MIN/30950/2019,SIA/1(a)/585/18,Bihari Sand Ghat mining project,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
64,65,5,SIA/BR/MIN/35501/2019,,"Soil  Mining Project of Area 4.23 Acres or 1.71  Hectare  at Vill- Gangura Bihara,  P.O-  Bihara, P.S-  Bihara, Block-  Satar Kataiya, District-  Saharsa, State-  Bihar for M/s  Ganpati Construction",GANPATI CONSTRUCTION,Pending at PP due to eds,EC,, 
65,66,6,SIA/BR/MIN/35982/2019,,"Mauza- Aurangpur, P.O- Nataul, P.S- Kadirganj, Block- Dhanarua, District- Patna, State- Bihar",JMK INT UDYOG,Pending at PP due to eds,EC,, 
66,67,7,SIA/BR/MIN/36050/2019,,"Proposed Brick Earth Mining Project of Area 2.44 Acres or 0.99 Hectare for M/s  Mamta Int Udyog at Mauza + P.O- Dariapur, P.S + Block- Naubatpur, District- Patna, State-  Bihar.",MAMTA INT UDYOG,Pending at PP due to eds,EC,, 
67,68,8,SIA/BR/MIN/140880/2020,,"Brick Earth Mining Project of Area 4.18 Acres or 1.69 Hectare M/s Rakesh Bricks at Mauza- Senuaria, P.S- Inarwa, Block- Mainatand, District-West Champaran, State - Bihar",M/S RAKESH INT UDYOG,Delisted,EC,, 
68,69,9,SIA/BR/MIN/144003/2020,,BRICK EARTH MINING PROJECT FOR M/S S R P ENT UDYOG MAUZA KAMALDAH BATHNAHA SITAMARHI AREA 3.11 Ac,M/S S R P ENT UDYOG PROP SUNIL KUMAR,Delisted,EC,, 
69,70,10,SIA/BR/MIN/126024/2019,,"Brick earth Mining in Gata No. 150,8,151,151/136,9,10,51,163/3311,163,62,62/1360 in village Pasopur, Tehsil-Bhagwanpur, Dist-Begusarai,Bihar",CHANDRIKA BRICK-INDUSTRIES,Delisted,EC,, 
70,71,1,SIA/BR/MIN/41681/2019,,SUGAULI & CHAND PARSA BALU GHAT,VINAY KUMAR   DISTRICT EAST CHAMPARAN,Pending at PP due to eds,EC,, 
71,72,2,SIA/BR/MIN/33325/2019,,Proposed Sand Mining Project of Area 4.5 Ha at Narhan Ghat on Ghaghra (Sarayu) River of District-Siwan of State-Bihar.,M S BALAJI ENTERPRISES,Pending at PP due to eds,EC,, 
72,73,3,SIA/BR/MIN/33690/2019,,Amha Laukaha Sand Ghat on Tilawe River,SUJEET KUMAR,Pending at PP due to eds,EC,, 
73,74,4,SIA/BR/MIN/126441/2019,,"Achhechak & Kalyanpur (Khata No – 02, 23, 12 & 01. Khasra/Plot(s) No. 464, 465, 465/685, 603, 41, 1, 7, 40, 34 & 76) soil brick mining project.",M/S SHREE RAM BRICKS,Delisted,EC,, 
74,75,5,SIA/BR/MIN/148897/2020,,"Proposed Brick Earth Mining Project of Area 1.21 Hectare Or 3.00 Acre M/S N.H.L  Bricks  at  Vill-  Purainiya,  Block-  Mainatand,  P.O-  Pirari,  P.S-  Mainatand,  District-West  Champaran, State - B",N.H.L BRICKS,Delisted,EC,, 
75,76,6,SIA/BR/IND/55772/2020,SIA/3(a)/1235/2020,Patwari Steels Private Limited,M/S PATWARI STEELS PVT LIMITED,EC Granted,EC,, 
76,77,7,SIA/BR/MIN/51945/2020,,Jamui Kiul 3 balu ghat sand mining project,M/S GOOD EARTH COLLIERIES PVT LTD,Delisted,EC,, 
77,78,8,SIA/BR/MIN/154986/2020,,Brick Clay Mining,M/S BSCPL INFRASTRUCTURE LTD.,Delisted,EC,, 
78,79,9,SIA/BR/MIN/33571/2019,,Mohanpur Sand Ghat on Badua River,KATYAYNI CONTRACTORS PVT. LTD.,Pending at PP due to eds,EC,, 
79,80,10,SIA/BR/MIN/33763/2019,,Sangrampur Balu Ghat,VINAY  KUMAR,Pending at PP due to eds,EC,, 
80,81,1,SIA/BR/MIS/181412/2020,SIA/8(a)/1269/2020,"Proposed Residential Building “H2O City” Mauza-Neora, Tehsil-Bihta, District- Patna, Bihar by M/s Anshul Homes Pvt. Ltd.",M/S ANSHUL HOMES PVT. LTD.,EC Granted,EC,, 
81,82,5,SIA/BR/MIN/157455/2020,,ORDINARY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD. MAUZA HATHWAN ALAULI KHAGARIA AREA 11.04,BSCPL INFRASTRUCTURE LTD MAUZA HATHWAN AREA 11.04 AC,Delisted,EC,, 
82,83,6,SIA/BR/MIN/35775/2019,,"Brick Earth Soil Project at Mauza- Mauzipur (Daulatpur), P.O- Gadho Chak, P.S- Fatuha, District- Patna (Bihar).",PAWAN BRICKS INDUSTRIES,Pending at PP due to eds,EC,, 
83,84,7,SIA/BR/IND/26138/2018,,Kamper Concast ltd,KAMPER CONCAST LIMITED,EC Granted,EC,, 
84,85,8,SIA/BR/MIN/133565/2019,,"Proposed Brick Earth Mining Project of Area 3.12 Acres or 1.26 Hectare for M/S VIP Bricks Company at Village- Madhopur, Tehsil- Bakhtiyarpur, P.S + Anchal- Bakhtiyarpur, District- Patna, State- Bihar.",M/S VIPBRICKSCOMPANY,Delisted,EC,, 
85,86,9,SIA/BR/IND/29688/2017,SIA/5(i)/605/2019,Indira Paper Mill Pvt. Ltd.,INDIRA PAPER MILL PVT LTD,EC Granted,EC,, 
86,87,10,SIA/BR/MIN/130279/2019,,Brick  Earth  Mining  Project  for  M/s  Raj  Int  Udyog,M/S RAJ INT UDYOG,Delisted,EC,, 
87,88,1,SIA/BR/MIN/142170/2020,,BRICK EARTH MINING PROJECT FOR M/S SHEOGANGA INT UDYOG MAUZA MAHAMMADPUR,M/S SHEOGANGA INT UDYOG PROP ABHISHEK KUMAR,Delisted,EC,, 
88,89,2,SIA/BR/MIN/138779/2020,,"Brick Earth Mining Project of Area 2.80 Acres or 1.13 Hectare M/s Neyaz Bricks at Mauza- Pipra Pakri, P.O - Pipra, P.S-Bettiah Muffashil, Block- Bettiah, District-West Champaran, State - Bihar",M/S NEYAZ BRICKS,Delisted,EC,, 
89,90,3,SIA/BR/MIN/33236/2019,,Proposed Sand Mining Project of area 1.40 ha at Munja-Matiari Ghat on Gandak River of District-Gopalganj of State-Bihar. Consultant-,MR KAMAKHYA MISHRA,Pending at PP due to eds,EC,, 
90,91,4,SIA/BR/MIN/33416/2019,,Gogachak sand mining project at Badua river,KATYAYNI CONTRACTORS PVT. LTD.,Pending at PP due to eds,EC,, 
91,92,6,SIA/BR/MIN/133715/2019,,"Proposed Brick Earth Mining Project of Area 4.74Acres or 1.91 Hectare for M/s Shiv Shankar Int Udyog at Mauza-Gorakhari, P.O- Gorakhari, P.S – Bikram, Block- Bikram, District- Patna, State – Bihar",M/S SHIV SHANKAR INT UDYOG,Delisted,EC,, 
92,93,7,SIA/BR/MIN/154292/2020,,Brick Clay Mining,M/S BSCPL INFRASTRUCTURE LTD.,Delisted,EC,, 
93,94,8,SIA/BR/MIS/228225/2021,SIA/8(a)/1529/2021,Proposed Mall cum Residential Building “Golden Tower / Residency” by Concicon Construction Pvt. Ltd.,CONCICON CONSTRUCTION PVT. LTD.,EC Granted,EC,, 
94,95,9,SIA/BR/MIN/31029/2019,SIA/1(a)/621/19,"Sand mining project at Imadpur ghat on Son river in district Bhojpur, Bihar",BROADSON COMODITIES PVT LTD,EC Granted,EC,, 
95,96,10,SIA/BR/MIS/127441/2019,SIA/8(a)/699/19,IOB Galaxy Building,MS ASHIRWAD ENGICON PRIVATE LIMITED,EC Granted,EC,, 
96,97,1,SIA/BR/MIN/131053/2019,,"Brick Earth Mining Project of Area 1.62 Hectares or 4.01 acres for M/S Thakur Int Udyog at Mauza- Vaishya Lagma, P.O- Ganoun, P.S- Ghanshyampur, Block- Goraboran, District- Darbhanga, State- Bihar",M/S THAKUR INT UDYOG,Delisted,EC,, 
97,98,2,SIA/BR/MIN/131096/2019,,M/s Radha Bricks (Prop: Mahesh Sah),M/S. RADHA BRICKS (MAHESH SHA),Delisted,EC,, 
98,99,3,SIA/BR/MIN/138826/2020,,"Ordinary clay bscpl infrastructure mauza khirniya , mansi, Khagaria",BSCPL INFRASTRUCTURE LTD. MAUZA KHIRNIYA AREA 12.21 AC 4.94 HA,Delisted,EC,, 
99,100,4,SIA/BR/MIN/41782/2019,,Proposed Sand Mining Project of area 4.20 ha at Mohanpur Ghat on Gandak River of District- Begusarai of State-Bihar,RADHA SWAMI AUTOMOBILES,Pending at PP due to eds,EC,, 
100,101,5,SIA/BR/MIN/30922/2019,SIA/1(a)/548/18,Garhi Bisanpur Sand Ghat Mining Project of Area 24.0 Ha District Lakhisarai Bihar on Kiul River.,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
101,102,6,SIA/BR/MIN/128609/2019,,"Proposed Brick Earth Mining Project of Area 1.25 Hectare Or 3.08 Acer M/S Vinay Int Udyog at Vill- Sirauna, P.O- Neura, P.S- Bhairoganj, Block- Bagaha-1, District-West Champaran, State- Bihar",M/S VINAY INT UDYOG,Delisted,EC,, 
102,103,7,SIA/BR/MIN/128611/2019,,M/s THAKUR BRICKS,M/S THAKUR BRICKS,Delisted,EC,, 
103,104,8,SIA/BR/MIN/129733/2019,,"Brick Earth Mining Project at Village- Ramubariya, P.O- Mazariya, P.S – Buxar Ind, District- Buxar(Bihar)",M/S ANIL INT UDYOG,Delisted,EC,, 
104,105,9,SIA/BR/MIN/33784/2019,,Proposed Sand Mining Project of Area 4.60 Ha at Niyazipur Ghat  on Ganga River of District-Buxar of State-Bihar.,MS KATYAYNI CONTRACTORS PRIVATE LIMITED,Pending at PP due to eds,EC,, 
105,106,10,SIA/BR/MIN/34061/2019,,Koriyapatti Sand Ghat on Sursar River,SUJEET KUMAR,Pending at PP due to eds,EC,, 
106,107,1,SIA/BR/MIN/130748/2019,,"Brick Earth Mining Project of Area 3.61 Acres or 1.46 Hectare for M/S Pankaj Int Udyog at Mauza/Vill- Bilari, P.O- Bilari, P.S + Block- Katarisarai, District- Nalanda, State- Bihar",M/S PANKAJ INT UDYOG,Delisted,EC,, 
107,108,2,SIA/BR/MIN/131976/2019,,"M/S BHAWANI BRICKS Production Capacity 4657.33 TPA, Area 1.11 Ha (2.75 Ac) Village- Chak Monije Plot No.- 158, 159 & 160, Khata No.-  38, 39 & 40, Revenue Thana No.- 05 under Ramtari Gram Panchayat, P",M/S BHAWANI BRICKS PROP:- GAJENDRA KUMAR,Delisted,EC,, 
108,109,3,SIA/BR/MIN/131881/2019,,M/s Vijay Int. Udyog,M/S VIJAY UDYOG (BARUN KUMAR),Delisted,EC,, 
109,110,4,SIA/BR/MIS/69268/2019,SIA/8(b)/688/2019,"VARDHMAN INSTITUTE OF MEDICAL SCIENCES (VIMS) AT MAUZA- DASHRATPUR,  THANA:- PAWAPURI, DISTRICT:- NALANDA, BIHAR",VARDHMAN INSTITUTE OF MEDICAL SCIENCES,Delisted,EC,, 
110,111,5,SIA/BR/MIN/30972/2019,SIA/1(a)/575/18,Ghanshyamthan Koluha Sand Ghat mining project,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
111,112,6,SIA/BR/MIN/34170/2019,,Rampur Dharampatti Sand Ghat on Tilawe   River,SUJEET KUMAR,Pending at PP due to eds,EC,, 
112,113,7,SIA/BR/MIN/34585/2019,,Proposed Sand Mining Project of area 4.90 ha at Kharahat Ghat on Ganga River of District- Begusarai of State-Bihar,RADHA SWAMI AUTOMOBILES,Pending at PP due to eds,EC,, 
113,114,8,SIA/BR/MIN/35026/2019,,Bara Balu Ghat on Burhi Gandak  River,VINAY  KUMAR,Delisted,EC,, 
114,115,9,SIA/BR/MIN/149203/2020,,ORDINARY CLAY MINING PROJECT FOR BSCPL INFRASTRUCTURE LTD MAUZA BALHA,BSCPL INFRASTRUCTURE LTD MAUZA BALHA AREA 11.48 AC,Delisted,EC,, 
115,116,10,SIA/BR/MIN/148804/2020,,Royal Int Udyog,M/S ROYAL INT UDYOG,Delisted,EC,, 
116,117,1,SIA/BR/MIN/35926/2019,,"Mauza- Arap, P.O- Arap, P.S + Block- Bikram, District- Patna, State- Bihar",HOME BRICKS COMPANY,Pending at PP due to eds,EC,, 
117,118,2,SIA/BR/MIN/127013/2019,,"Simariya M/S –Maa Bricks Earth Mining Project ,Mauza- Simariya,tana no-500, khata no.-118,38,400&391. Plot no.-1037, 1057, 1048, &1049. Area-2.48Ac (1.00 ha.)For production capacity 4662 TPA,P.S.-Bara",M/S MAA BRICKS PROP:-RAM PRAVESH RAY,Delisted,EC,, 
118,119,3,SIA/BR/MIN/126317/2019,,me,M/S MARYADA EARTH,Delisted,EC,, 
